col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Gwen Collins,Barbara Carroll,David Rodriguez,Elaine Tomlin,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
Robert M Mccord,,,3,0,13,6,9,7,6,6,3,2,1,1,0,9
Katie Mcginty,,,,2,2,2,2,2,2,2,2,2,2,3,0,9
Latrice Y Bryant,,,,,1,24,25,24,24,21,14,15,14,11,0,9
David Rodriguez,,,,,,0,16,17,22,16,14,14,13,10,0,9
Gwen Collins,,,,,,,0,25,15,19,13,16,13,10,0,9
Barbara Carroll,,,,,,,,1,16,21,13,15,13,10,0,9
Edward M Lloyd Jr,,,,,,,,,0,15,13,13,13,10,0,9
Elaine Tomlin,,,,,,,,,,0,12,13,14,9,0,9
Humberto Perez,,,,,,,,,,,0,12,9,8,0,9
Karen Voss,,,,,,,,,,,,0,11,10,0,9
Ruth I Birchett,,,,,,,,,,,,,0,8,0,9
Louis Agre,,,,,,,,,,,,,,0,0,9
Dawn Thomas,,,,,,,,,,,,,,,0,9
Total,87,24,21,6,70,36,32,31,28,24,19,19,16,14,1,9
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Governor - Democrat,,,,10
,Latrice Y Bryant,Barbara Carroll,Elaine Tomlin,Gwen Collins,David Rodriguez,Edward M Lloyd Jr,Karen Voss,Louis Agre,Humberto Perez,Ruth I Birchett,Dawn Thomas,Robert M Mccord,Tom Wolf,Allyson Y Schwartz,Katie Mcginty,10
Latrice Y Bryant,0,22,22,20,14,10,9,7,6,6,0,23,15,5,1,10
Barbara Carroll,,0,21,19,7,5,7,6,5,5,0,15,6,3,1,10
Elaine Tomlin,,,0,19,6,4,6,5,4,6,0,13,6,3,1,10
Gwen Collins,,,,0,6,5,6,6,4,4,0,14,5,3,1,10
David Rodriguez,,,,,0,9,8,7,7,5,0,5,8,2,1,10
Edward M Lloyd Jr,,,,,,0,6,7,5,4,0,4,6,2,0,10
Karen Voss,,,,,,,0,7,6,5,0,4,2,2,1,10
Louis Agre,,,,,,,,0,6,4,0,3,2,2,1,10
Humberto Perez,,,,,,,,,0,3,0,2,2,2,1,10
Ruth I Birchett,,,,,,,,,,0,0,2,2,2,1,10
Dawn Thomas,,,,,,,,,,,0,0,0,0,0,10
Robert M Mccord,,,,,,,,,,,,4,0,0,0,10
Tom Wolf,,,,,,,,,,,,,7,0,0,10
Allyson Y Schwartz,,,,,,,,,,,,,,1,0,10
Katie Mcginty,,,,,,,,,,,,,,,0,10
Total,44,25,23,23,16,12,9,8,7,7,0,28,25,9,1,10
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,11
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Humberto Perez,Louis Agre,Karen Voss,Ruth I Birchett,Dawn Thomas,11
Tom Wolf,24,0,0,0,38,16,16,15,22,17,9,7,5,6,1,11
Robert M Mccord,,7,0,0,24,17,18,14,6,7,5,4,3,3,2,11
Allyson Y Schwartz,,,7,0,3,7,3,2,0,1,2,2,2,0,0,11
Katie Mcginty,,,,1,0,0,1,0,0,0,0,0,0,0,0,11
Latrice Y Bryant,,,,,0,30,30,27,19,17,10,8,7,6,0,11
Gwen Collins,,,,,,0,30,25,10,10,13,10,9,7,0,11
Barbara Carroll,,,,,,,0,27,10,9,8,6,5,8,0,11
Elaine Tomlin,,,,,,,,0,10,8,10,7,6,8,0,11
David Rodriguez,,,,,,,,,0,16,12,10,6,7,0,11
Edward M Lloyd Jr,,,,,,,,,,0,8,7,5,6,1,11
Humberto Perez,,,,,,,,,,,0,11,9,8,1,11
Louis Agre,,,,,,,,,,,,0,7,5,0,11
Karen Voss,,,,,,,,,,,,,0,4,0,11
Ruth I Birchett,,,,,,,,,,,,,,0,1,11
Dawn Thomas,,,,,,,,,,,,,,,0,11
Total,75,42,15,2,65,40,39,32,28,25,16,13,10,10,3,11
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Governor - Democrat,,,,12
,Latrice Y Bryant,David Rodriguez,Edward M Lloyd Jr,Gwen Collins,Elaine Tomlin,Barbara Carroll,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,12
Latrice Y Bryant,0,19,21,20,18,17,16,13,11,10,0,23,10,11,0,12
David Rodriguez,,0,18,12,12,13,14,13,10,9,0,14,6,5,0,12
Edward M Lloyd Jr,,,0,13,11,12,16,12,11,9,0,12,3,8,0,12
Gwen Collins,,,,0,17,17,15,13,11,10,0,12,4,6,0,12
Elaine Tomlin,,,,,0,16,13,12,9,9,0,10,6,5,0,12
Barbara Carroll,,,,,,0,14,13,11,9,0,11,4,5,0,12
Karen Voss,,,,,,,0,14,13,11,0,10,4,5,0,12
Humberto Perez,,,,,,,,0,11,10,0,9,1,5,0,12
Louis Agre,,,,,,,,,0,7,0,6,2,5,0,12
Ruth I Birchett,,,,,,,,,,0,0,8,2,2,0,12
Dawn Thomas,,,,,,,,,,,0,0,0,0,0,12
Tom Wolf,,,,,,,,,,,,7,0,0,0,12
Robert M Mccord,,,,,,,,,,,,,4,0,0,12
Allyson Y Schwartz,,,,,,,,,,,,,,6,0,12
Katie Mcginty,,,,,,,,,,,,,,,0,12
Total,44,25,23,22,21,20,19,15,13,12,0,33,22,18,0,12
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,13
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Latrice Y Bryant,Gwen Collins,Barbara Carroll,David Rodriguez,Edward M Lloyd Jr,Elaine Tomlin,Karen Voss,Louis Agre,Ruth I Birchett,Humberto Perez,Dawn Thomas,13
Tom Wolf,15,0,0,0,31,19,16,22,18,12,9,10,8,7,2,13
Allyson Y Schwartz,,4,0,0,8,6,3,4,5,3,4,4,3,1,0,13
Robert M Mccord,,,4,0,13,9,11,3,2,6,4,2,4,2,0,13
Katie Mcginty,,,,0,0,1,0,1,0,0,1,1,1,2,0,13
Latrice Y Bryant,,,,,1,25,23,20,20,18,14,14,12,8,0,13
Gwen Collins,,,,,,0,27,15,14,17,16,15,14,10,1,13
Barbara Carroll,,,,,,,0,14,12,18,12,11,13,7,1,13
David Rodriguez,,,,,,,,0,19,8,11,13,10,10,1,13
Edward M Lloyd Jr,,,,,,,,,0,7,11,15,9,9,1,13
Elaine Tomlin,,,,,,,,,,0,7,7,7,2,0,13
Karen Voss,,,,,,,,,,,0,13,9,10,1,13
Louis Agre,,,,,,,,,,,,0,9,10,1,13
Ruth I Birchett,,,,,,,,,,,,,0,6,1,13
Humberto Perez,,,,,,,,,,,,,,0,1,13
Dawn Thomas,,,,,,,,,,,,,,,0,13
Total,65,18,17,2,54,36,30,30,25,21,18,17,16,12,2,13
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,14
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Latrice Y Bryant,Edward M Lloyd Jr,David Rodriguez,Gwen Collins,Barbara Carroll,Karen Voss,Humberto Perez,Louis Agre,Elaine Tomlin,Ruth I Birchett,Dawn Thomas,14
Tom Wolf,15,0,0,0,25,14,11,11,10,10,9,8,10,4,0,14
Allyson Y Schwartz,,2,0,0,10,7,7,8,8,5,7,5,4,5,0,14
Robert M Mccord,,,1,0,3,3,3,2,2,2,1,3,2,1,0,14
Katie Mcginty,,,,0,0,0,0,0,0,2,0,1,0,0,0,14
Latrice Y Bryant,,,,,0,15,17,16,17,15,15,14,13,7,0,14
Edward M Lloyd Jr,,,,,,1,17,14,15,14,14,13,13,8,0,14
David Rodriguez,,,,,,,1,16,17,15,17,15,13,9,0,14
Gwen Collins,,,,,,,,0,17,14,15,13,14,8,0,14
Barbara Carroll,,,,,,,,,0,16,16,14,14,9,0,14
Karen Voss,,,,,,,,,,0,14,14,13,9,0,14
Humberto Perez,,,,,,,,,,,0,13,12,8,0,14
Louis Agre,,,,,,,,,,,,0,11,7,0,14
Elaine Tomlin,,,,,,,,,,,,,0,7,0,14
Ruth I Birchett,,,,,,,,,,,,,,0,0,14
Dawn Thomas,,,,,,,,,,,,,,,0,14
Total,49,17,5,2,39,26,22,21,20,19,17,17,16,10,0,14
