col_1,col_2,col_3,col_4,col_5,col_6,division
Daniel D Mccaffery,7,11,9,28,13,36
Amanda Green-hawkins,,2,14,9,14,36
Beth Tarasi,,,0,9,16,36
David H Conroy,,,,1,0,36
Theresa Brunson,,,,,0,36
Total,50,28,26,32,27,36
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,37
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,37
Daniel D Mccaffery,9,22,18,50,22,37
Amanda Green-hawkins,,1,11,14,19,37
Beth Tarasi,,,0,15,12,37
David H Conroy,,,,2,0,37
Theresa Brunson,,,,,0,37
Total,83,37,30,57,30,37
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,38
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,38
Daniel D Mccaffery,10,24,16,54,26,38
Amanda Green-hawkins,,0,13,16,20,38
Beth Tarasi,,,0,16,9,38
David H Conroy,,,,4,0,38
Theresa Brunson,,,,,1,38
Total,94,40,31,64,36,38
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,39
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,39
Daniel D Mccaffery,8,30,26,66,32,39
Amanda Green-hawkins,,2,15,21,29,39
Beth Tarasi,,,2,24,15,39
David H Conroy,,,,1,0,39
Theresa Brunson,,,,,2,39
Total,111,54,46,74,51,39
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,40
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,40
Daniel D Mccaffery,17,31,16,64,25,40
Amanda Green-hawkins,,3,12,18,25,40
Beth Tarasi,,,2,14,14,40
David H Conroy,,,,1,0,40
Theresa Brunson,,,,,0,40
Total,112,53,35,69,42,40
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,41
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,David H Conroy,Theresa Brunson,41
Daniel D Mccaffery,17,25,24,45,32,41
Beth Tarasi,,4,9,13,20,41
Amanda Green-hawkins,,,1,15,21,41
David H Conroy,,,,6,0,41
Theresa Brunson,,,,,2,41
Total,99,42,39,54,48,41
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,42
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,David H Conroy,Theresa Brunson,42
Daniel D Mccaffery,11,15,7,34,15,42
Beth Tarasi,,1,7,15,11,42
Amanda Green-hawkins,,,1,3,11,42
David H Conroy,,,,3,0,42
Theresa Brunson,,,,,0,42
Total,61,28,15,41,23,42
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,43
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,David H Conroy,Theresa Brunson,43
Daniel D Mccaffery,5,17,12,31,22,43
Beth Tarasi,,0,9,12,17,43
Amanda Green-hawkins,,,0,6,16,43
David H Conroy,,,,1,0,43
Theresa Brunson,,,,,0,43
Total,59,29,23,34,34,43
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,44
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,David H Conroy,Theresa Brunson,44
Daniel D Mccaffery,11,17,12,45,12,44
Beth Tarasi,,1,10,14,13,44
Amanda Green-hawkins,,,0,11,10,44
David H Conroy,,,,3,0,44
Theresa Brunson,,,,,0,44
Total,70,31,24,49,24,44
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,45
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,45
Daniel D Mccaffery,20,21,11,157,25,45
Amanda Green-hawkins,,0,10,19,16,45
Beth Tarasi,,,0,13,9,45
David H Conroy,,,,8,0,45
Theresa Brunson,,,,,3,45
Total,202,37,24,176,34,45
