col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
Helen Gym,,,,0,10,10,13,10,10,5,10,2,6,6,5,6,3,2,4,2,5,2,1,0,3,3,0,0,0,1,0,0,0,2
Isaiah Thomas,,,,,0,8,12,6,8,2,3,3,3,4,3,1,3,3,1,2,1,0,2,1,1,2,1,0,0,1,0,0,0,2
Adrián Rivera-reyes,,,,,,0,5,1,3,7,1,1,2,1,5,1,4,3,3,3,4,0,0,2,1,1,0,1,0,1,0,0,0,2
Derek S Green,,,,,,,0,9,8,1,2,3,2,0,2,2,1,3,1,2,1,1,2,1,0,2,1,0,0,0,0,0,0,2
Allan Domb,,,,,,,,0,4,2,2,6,4,2,2,4,0,3,1,1,1,4,3,1,0,0,3,1,2,0,0,0,0,2
Katherine Gilmore Richardson,,,,,,,,,0,1,6,3,3,2,0,2,1,0,2,0,1,1,0,0,1,1,0,0,0,1,1,0,0,2
Deja Lynn Alvarez,,,,,,,,,,0,2,2,0,1,5,0,1,1,0,1,4,0,1,0,2,0,1,1,0,1,0,0,0,2
Eryn Santamoor,,,,,,,,,,,0,2,2,4,0,3,1,0,3,1,0,0,0,0,3,0,0,0,0,1,0,0,0,2
Vinny Black,,,,,,,,,,,,2,1,0,1,0,0,1,0,1,0,1,0,1,0,0,2,2,0,0,0,0,0,2
Justin Diberardinis,,,,,,,,,,,,,0,2,0,1,1,0,1,2,2,2,1,1,1,0,0,0,1,0,1,0,0,2
Erika Almirón,,,,,,,,,,,,,,0,0,0,2,1,2,3,1,0,0,0,2,1,0,0,0,0,0,0,0,2
Willie Floyd Singletary,,,,,,,,,,,,,,,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0,0,2
Beth Finn,,,,,,,,,,,,,,,,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,1,0,0,2
Asa Khalif,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Fareed Abdullah,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2
Fernando Treviño,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,1,0,1,0,0,2
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,2
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,2
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,2
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,46,18,15,38,27,23,21,19,15,12,12,11,10,9,9,7,6,6,6,6,6,5,5,4,4,3,3,2,2,2,1,0,0,2
,Mayor - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Helen Gym,Allan Domb,Derek S Green,Eryn Santamoor,Isaiah Thomas,Katherine Gilmore Richardson,Vinny Black,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Erika Almirón,Beth Finn,Billy Thompson,Ogbonna Paul Hagins,Sandra Dungee Glenn,Fareed Abdullah,Fernando Treviño,Justin Diberardinis,Latrice Y Bryant,Edwin Santana,Hena Veit,Asa Khalif,Ethelind Baylor,Joseph A Diorio,Mark Ross,Wayne Allen,Bobbie Curry,Devon Cade,Sherrie Cohen,Wayne Edmund Dorsey,3
Jim Kenney,3,0,0,12,11,8,7,5,5,2,5,4,5,5,3,1,2,1,1,3,1,1,1,0,1,0,0,1,2,0,0,0,0,3
Anthony Hardy Williams,,5,0,6,7,7,3,6,4,3,2,3,2,1,0,3,1,2,3,1,2,2,1,1,1,1,0,1,0,1,0,0,0,3
Alan Butkovitz,,,4,8,6,5,4,3,4,6,4,3,4,1,3,1,2,2,0,0,1,1,1,2,0,0,2,0,0,0,1,0,0,3
Helen Gym,,,,0,9,5,8,4,4,1,4,6,7,4,3,1,5,3,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,3
Allan Domb,,,,,1,11,8,6,7,5,0,1,0,3,3,2,1,4,1,1,3,1,2,1,0,1,1,1,1,0,1,0,0,3
Derek S Green,,,,,,1,5,8,9,5,0,1,3,2,1,2,0,0,1,1,2,1,0,0,1,0,1,2,2,0,0,0,0,3
Eryn Santamoor,,,,,,,0,3,6,0,1,0,1,2,5,1,1,3,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,3
Isaiah Thomas,,,,,,,,0,8,3,1,1,1,2,0,2,0,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3
Katherine Gilmore Richardson,,,,,,,,,0,3,0,1,1,1,0,1,1,0,0,0,0,2,0,2,1,0,1,0,1,0,0,0,0,3
Vinny Black,,,,,,,,,,0,0,0,0,1,0,2,0,1,1,0,0,1,1,0,0,0,2,0,0,1,1,0,0,3
Adrián Rivera-reyes,,,,,,,,,,,0,5,4,1,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Deja Lynn Alvarez,,,,,,,,,,,,0,6,1,0,0,3,0,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,3
Willie Floyd Singletary,,,,,,,,,,,,,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
Erika Almirón,,,,,,,,,,,,,,0,1,0,0,0,1,2,2,1,1,0,0,1,0,0,0,1,0,0,0,3
Beth Finn,,,,,,,,,,,,,,,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,3
Billy Thompson,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,3
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
Fareed Abdullah,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3
Fernando Treviño,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,0,0,1,0,0,0,3
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,3
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,3
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,3
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,3
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,30,24,21,26,25,22,14,14,13,12,11,11,11,8,6,5,5,5,4,4,4,4,3,3,2,2,2,2,2,1,1,0,0,3
,Mayor - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Helen Gym,Derek S Green,Isaiah Thomas,Allan Domb,Willie Floyd Singletary,Adrián Rivera-reyes,Deja Lynn Alvarez,Katherine Gilmore Richardson,Eryn Santamoor,Beth Finn,Fareed Abdullah,Ogbonna Paul Hagins,Edwin Santana,Vinny Black,Asa Khalif,Latrice Y Bryant,Bobbie Curry,Erika Almirón,Joseph A Diorio,Justin Diberardinis,Mark Ross,Wayne Allen,Devon Cade,Ethelind Baylor,Fernando Treviño,Sandra Dungee Glenn,Wayne Edmund Dorsey,Billy Thompson,Hena Veit,Sherrie Cohen,4
Jim Kenney,1,0,0,16,6,8,12,6,5,5,6,4,4,3,4,1,3,1,1,1,1,2,1,1,1,0,1,1,1,0,0,0,0,4
Anthony Hardy Williams,,2,0,5,5,7,1,4,3,3,1,2,1,3,2,2,1,2,2,0,1,0,1,1,0,1,0,0,0,1,0,0,0,4
Alan Butkovitz,,,1,2,2,1,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Helen Gym,,,,0,3,4,8,7,6,6,5,4,3,1,5,1,3,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4
Derek S Green,,,,,2,8,5,1,0,1,4,3,3,2,0,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,4
Isaiah Thomas,,,,,,0,6,0,1,1,5,4,2,3,1,2,0,3,2,1,1,0,1,1,1,1,0,1,0,0,0,0,0,4
Allan Domb,,,,,,,0,1,1,0,5,3,1,1,0,2,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4
Willie Floyd Singletary,,,,,,,,0,7,6,0,1,0,1,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
Adrián Rivera-reyes,,,,,,,,,0,6,0,0,0,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Deja Lynn Alvarez,,,,,,,,,,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Katherine Gilmore Richardson,,,,,,,,,,,0,5,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4
Eryn Santamoor,,,,,,,,,,,,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Beth Finn,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,1,2,1,1,1,0,0,1,0,0,0,0,4
Fareed Abdullah,,,,,,,,,,,,,,0,1,2,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
Ogbonna Paul Hagins,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
