col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Dennis Lee,Marwan Kreidie,Annette Thompson,Carla Cain,Luigi Borda,Jen Devor,Robin Trent,Lewis Harris Jr,Warren Bloom,Moira Bohannon,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Sandra Dungee Glenn,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Eryn Santamoor,Edwin Santana,Fareed Abdullah,Asa Khalif,Erika Almirón,Ogbonna Paul Hagins,Justin Diberardinis,Latrice Y Bryant,Billy Thompson,Fernando Treviño,Beth Finn,Joseph A Diorio,Ethelind Baylor,Hena Veit,Wayne Allen,Vinny Black,Mark Ross,Devon Cade,Wayne Edmund Dorsey,Bobbie Curry,Sherrie Cohen,All
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Omar Sabir,Lisa Deeley,Annette Thompson,Kahlil Williams,Marwan Kreidie,Dennis Lee,Robin Trent,Carla Cain,Luigi Borda,Warren Bloom,Jen Devor,Lewis Harris Jr,Moira Bohannon,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Sandra Dungee Glenn,Willie Floyd Singletary,Adrián Rivera-reyes,Deja Lynn Alvarez,Ogbonna Paul Hagins,Erika Almirón,Eryn Santamoor,Fareed Abdullah,Asa Khalif,Edwin Santana,Latrice Y Bryant,Beth Finn,Billy Thompson,Bobbie Curry,Vinny Black,Hena Veit,Joseph A Diorio,Justin Diberardinis,Mark Ross,Devon Cade,Ethelind Baylor,Fernando Treviño,Sherrie Cohen,Wayne Allen,Wayne Edmund Dorsey,1
Omar Sabir,1,20,3,2,3,1,1,0,1,0,0,0,0,26,21,19,15,16,8,8,7,7,5,3,2,2,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Lisa Deeley,,1,0,1,2,0,0,0,0,0,0,0,0,19,21,16,13,10,6,2,1,2,2,1,2,0,0,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Annette Thompson,,,0,2,0,0,0,1,0,0,0,0,0,0,3,3,1,2,3,2,2,2,0,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kahlil Williams,,,,0,0,0,1,0,0,0,0,0,0,3,4,4,2,1,3,3,0,2,2,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Marwan Kreidie,,,,,0,0,0,0,0,0,0,0,0,6,2,2,2,1,0,5,5,4,4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Dennis Lee,,,,,,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Robin Trent,,,,,,,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
Carla Cain,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
