col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,All
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Ogbonna Paul Hagins,Fareed Abdullah,Latrice Y Bryant,Sandra Dungee Glenn,Asa Khalif,Eryn Santamoor,Billy Thompson,Erika Almirón,Mark Ross,Beth Finn,Justin Diberardinis,Ethelind Baylor,Wayne Allen,Bobbie Curry,Hena Veit,Joseph A Diorio,Fernando Treviño,Vinny Black,Wayne Edmund Dorsey,Edwin Santana,Devon Cade,Sherrie Cohen,David H Conroy,Theresa Brunson,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,2
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2
Hena Veit,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,2
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,2
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,2
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
David H Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2
Theresa Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
Total,43,36,33,30,29,9,7,6,5,5,5,5,4,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,37,18,2
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,3
,Helen Gym,Allan Domb,Derek S Green,Adrián Rivera-reyes,Isaiah Thomas,Willie Floyd Singletary,Deja Lynn Alvarez,Katherine Gilmore Richardson,Ogbonna Paul Hagins,Eryn Santamoor,Fareed Abdullah,Billy Thompson,Asa Khalif,Beth Finn,Latrice Y Bryant,Sandra Dungee Glenn,Erika Almirón,Justin Diberardinis,Wayne Allen,Edwin Santana,Vinny Black,Wayne Edmund Dorsey,Devon Cade,Ethelind Baylor,Fernando Treviño,Hena Veit,Joseph A Diorio,Bobbie Curry,Mark Ross,Sherrie Cohen,Theresa Brunson,David H Conroy,3
Helen Gym,2,21,13,12,11,10,11,12,7,5,2,2,1,2,0,1,2,1,0,1,0,2,1,1,0,1,1,0,0,0,14,19,3
Allan Domb,,5,15,4,11,6,3,11,0,5,5,3,2,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,11,12,3
Derek S Green,,,0,1,10,2,3,9,0,3,3,3,2,1,2,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,10,9,3
Adrián Rivera-reyes,,,,1,3,7,8,3,7,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,3
Isaiah Thomas,,,,,2,0,1,8,1,1,2,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,7,8,3
Willie Floyd Singletary,,,,,,2,6,0,5,3,0,3,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,5,3
Deja Lynn Alvarez,,,,,,,1,3,5,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,7,5,3
Katherine Gilmore Richardson,,,,,,,,0,0,2,1,1,0,1,0,2,1,1,0,1,1,1,0,0,1,1,0,0,0,0,4,8,3
Ogbonna Paul Hagins,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3
Eryn Santamoor,,,,,,,,,,0,0,0,0,0,2,1,0,2,1,1,0,1,0,1,0,0,0,0,0,0,7,1,3
Fareed Abdullah,,,,,,,,,,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,3
Billy Thompson,,,,,,,,,,,,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Asa Khalif,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3
Beth Finn,,,,,,,,,,,,,,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,3
Latrice Y Bryant,,,,,,,,,,,,,,,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3
Sandra Dungee Glenn,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,3
Erika Almirón,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3
Justin Diberardinis,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Wayne Allen,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3
Edwin Santana,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,1,3
Vinny Black,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,3
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,3
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,3
