col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Eryn Santamoor,Allan Domb,Ethelind Baylor,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Fernando Treviño,Beth Finn,Sandra Dungee Glenn,Ogbonna Paul Hagins,Asa Khalif,Willie Floyd Singletary,Joseph A Diorio,Latrice Y Bryant,Billy Thompson,Fareed Abdullah,Hena Veit,Edwin Santana,Mark Ross,Devon Cade,Wayne Allen,Vinny Black,Bobbie Curry,Wayne Edmund Dorsey,Sherrie Cohen,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,All
Fernando Treviño,,,,,,,,,,,,,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,8,8,0,2,1
Sandra Dungee Glenn,,,,,,,,,,,,,,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,9,5,1,3,1
Billy Thompson,,,,,,,,,,,,,,,0,2,1,1,2,4,1,1,2,0,1,0,0,0,0,0,4,1,4,3,1
Asa Khalif,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,2,1
Willie Floyd Singletary,,,,,,,,,,,,,,,,,2,2,0,1,0,0,1,0,1,0,0,1,0,0,5,1,1,0,1
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,1,1,1
Joseph A Diorio,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,0,0,0,0,3,0,3,0,1
Mark Ross,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,2,1,1,1,1
Devon Cade,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,2,1,1,0,1
Hena Veit,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,1,1,0,1
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,0,1
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,2,1,0,0,1
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,1,1
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,1
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Total,186,154,127,115,96,63,58,44,35,28,22,20,20,18,12,9,9,8,7,5,4,4,4,3,3,3,1,1,1,0,163,40,14,12,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,2
,Helen Gym,Isaiah Thomas,Justin Diberardinis,Erika Almirón,Ethelind Baylor,Allan Domb,Eryn Santamoor,Adrián Rivera-reyes,Derek S Green,Katherine Gilmore Richardson,Fernando Treviño,Billy Thompson,Deja Lynn Alvarez,Latrice Y Bryant,Beth Finn,Willie Floyd Singletary,Joseph A Diorio,Sandra Dungee Glenn,Asa Khalif,Fareed Abdullah,Hena Veit,Ogbonna Paul Hagins,Wayne Allen,Bobbie Curry,Devon Cade,Edwin Santana,Mark Ross,Sherrie Cohen,Vinny Black,Wayne Edmund Dorsey,Rochelle Bilal,Malika Rahman,Larry King Sr,Jewell Williams,2
Helen Gym,1,52,47,45,37,16,16,14,12,9,3,3,5,4,4,4,2,4,2,3,3,1,2,0,0,1,1,0,1,0,53,11,6,7,2
Isaiah Thomas,,0,39,37,34,7,6,4,5,5,1,1,2,1,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,37,5,4,4,2
Justin Diberardinis,,,0,39,31,7,11,6,4,4,1,0,1,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,34,7,3,4,2
Erika Almirón,,,,0,33,4,8,5,3,0,2,0,1,1,1,0,0,3,2,0,0,1,0,0,1,0,0,0,1,0,37,4,4,2,2
Ethelind Baylor,,,,,0,3,2,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,28,1,3,3,2
Allan Domb,,,,,,1,5,2,9,5,3,2,0,1,2,2,4,0,0,1,1,0,1,0,1,0,1,0,0,0,10,4,6,3,2
Eryn Santamoor,,,,,,,0,5,4,4,2,2,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,16,1,1,2,2
Adrián Rivera-reyes,,,,,,,,0,2,3,3,1,4,1,1,2,0,2,0,1,1,0,1,0,0,1,0,0,0,0,11,4,0,1,2
Derek S Green,,,,,,,,,0,7,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,2,2
Katherine Gilmore Richardson,,,,,,,,,,0,1,1,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6,3,1,1,2
Fernando Treviño,,,,,,,,,,,1,4,1,1,2,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,3,2,4,0,2
Billy Thompson,,,,,,,,,,,,0,0,2,2,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,2,3,1,2
Deja Lynn Alvarez,,,,,,,,,,,,,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,3,0,0,2
Latrice Y Bryant,,,,,,,,,,,,,,0,1,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,2,3,1,1,2
Beth Finn,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,2,1,2
Willie Floyd Singletary,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,2
Joseph A Diorio,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,2
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,2
Asa Khalif,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2
Hena Veit,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,2
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,1,0,2
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,2
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,2
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,2
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,2
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,2
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,2
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
Total,82,53,50,49,38,24,20,17,14,12,10,7,7,7,6,6,5,5,3,3,3,3,2,1,1,1,1,1,1,0,67,14,13,10,2
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,3
,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Eryn Santamoor,Ethelind Baylor,Allan Domb,Derek S Green,Adrián Rivera-reyes,Deja Lynn Alvarez,Katherine Gilmore Richardson,Beth Finn,Fernando Treviño,Joseph A Diorio,Willie Floyd Singletary,Sandra Dungee Glenn,Latrice Y Bryant,Billy Thompson,Ogbonna Paul Hagins,Vinny Black,Asa Khalif,Fareed Abdullah,Hena Veit,Mark Ross,Wayne Allen,Wayne Edmund Dorsey,Bobbie Curry,Devon Cade,Edwin Santana,Sherrie Cohen,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,3
Helen Gym,3,66,67,58,30,35,16,12,13,6,13,7,11,2,0,4,0,0,1,2,1,1,2,0,0,0,0,0,0,0,69,20,3,2,3
Justin Diberardinis,,1,52,50,23,31,12,9,9,5,7,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,10,0,0,3
Erika Almirón,,,0,49,15,36,5,6,8,4,5,4,5,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,52,12,0,0,3
Isaiah Thomas,,,,0,16,33,7,10,5,3,9,1,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,56,3,1,3,3
Eryn Santamoor,,,,,2,2,13,6,7,3,7,8,7,2,1,2,0,1,0,1,2,0,1,0,0,1,0,0,0,0,23,8,2,1,3
Ethelind Baylor,,,,,,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,3
Allan Domb,,,,,,,1,7,3,2,4,3,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,10,6,3,1,3
Derek S Green,,,,,,,,0,5,3,5,2,2,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,11,6,1,1,3
Adrián Rivera-reyes,,,,,,,,,0,6,2,1,2,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,8,9,1,1,3
Deja Lynn Alvarez,,,,,,,,,,0,2,3,1,3,2,1,2,0,2,0,1,1,0,1,0,0,0,0,0,0,9,3,1,1,3
Katherine Gilmore Richardson,,,,,,,,,,,0,3,3,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,10,6,1,0,3
Beth Finn,,,,,,,,,,,,0,1,1,1,3,0,1,0,0,2,1,0,1,0,1,0,0,0,0,8,2,1,0,3
