col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,All
,R Seth Williams,Timika Lane,Giovanni Campbell,Vince Giusini,Daniel D Mccaffery,Joe Fernandes,James C Crumlish,Anne Marie Coyle,Tracy B Roman,Sierra Thomas Street,Stephanie M Sawyer,Kenneth J Powell Jr,Dawn M Tancredi,Leon A King Ii,Daine A Grey Jr,Rania Major,John J O Connor Jr,Derrick W Coker,Deborah D Cianfrani,Conor Corcoran,Frank Bennett,Sean P Stevens,Jon Marshall,Katie Scrivner,Fran Shields,All
Tracy B Roman,,,,,,0,11,6,5,6,9,6,5,4,6,2,0,4,4,1,1,1,0,0,0,7
Joe Fernandes,,,,,,,0,12,4,1,8,2,2,1,3,1,2,1,0,1,1,1,0,0,0,7
James C Crumlish,,,,,,,,0,2,2,5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7
Kenneth J Powell Jr,,,,,,,,,0,9,3,7,1,0,1,2,4,0,0,1,1,1,0,0,0,7
Stephanie M Sawyer,,,,,,,,,,0,2,5,2,3,5,6,3,1,1,1,2,0,0,0,0,7
Anne Marie Coyle,,,,,,,,,,,0,1,3,0,4,0,3,4,3,1,0,0,0,0,0,7
Leon A King Ii,,,,,,,,,,,,0,3,1,2,0,0,0,1,2,0,1,0,0,0,7
Dawn M Tancredi,,,,,,,,,,,,,0,1,1,1,0,4,2,1,1,0,1,0,0,7
Rania Major,,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,7
Sierra Thomas Street,,,,,,,,,,,,,,,0,0,0,1,2,1,1,1,0,0,0,7
Daine A Grey Jr,,,,,,,,,,,,,,,,0,2,0,0,0,1,0,0,0,0,7
Derrick W Coker,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,7
