col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,All
,Timika Lane,Joe Fernandes,Daniel D Mccaffery,Sierra Thomas Street,Anne Marie Coyle,Kenneth J Powell Jr,Dawn M Tancredi,Vince Giusini,Tracy B Roman,James C Crumlish,Stephanie M Sawyer,Giovanni Campbell,Rania Major,Leon A King Ii,John J O Connor Jr,Deborah D Cianfrani,Frank Bennett,Derrick W Coker,Sean P Stevens,Daine A Grey Jr,Conor Corcoran,Jon Marshall,Katie Scrivner,Fran Shields,Alan Butkovitz,Brett Mandel,Mark Zecca,All
Derrick W Coker,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,2
Frank Bennett,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,2
John J O Connor Jr,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,2
Jon Marshall,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,2
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Brett Mandel,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Alan Butkovitz,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2
Mark Zecca,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,15,10,9,8,8,8,6,5,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,0,7,6,4,2
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,3
,Joe Fernandes,Daniel D Mccaffery,Vince Giusini,Rania Major,Giovanni Campbell,Stephanie M Sawyer,Dawn M Tancredi,Timika Lane,James C Crumlish,Kenneth J Powell Jr,Anne Marie Coyle,Derrick W Coker,Frank Bennett,Deborah D Cianfrani,Conor Corcoran,Daine A Grey Jr,John J O Connor Jr,Jon Marshall,Leon A King Ii,Sierra Thomas Street,Tracy B Roman,Fran Shields,Katie Scrivner,Sean P Stevens,Brett Mandel,Alan Butkovitz,Mark Zecca,3
Joe Fernandes,0,6,7,7,5,5,2,4,4,2,2,2,1,0,0,1,0,1,0,1,1,0,0,0,6,3,0,3
Daniel D Mccaffery,,0,6,4,4,4,5,2,5,3,1,2,1,1,0,0,1,1,0,0,0,0,0,0,2,4,1,3
Vince Giusini,,,0,7,6,8,1,2,3,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,5,0,1,3
Rania Major,,,,0,6,7,0,1,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,5,0,0,3
Giovanni Campbell,,,,,0,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,3
