col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,,,Judge Of The Traffic Court - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Shoshana Bricklin,Robert M Kline,Daine A Grey Jr,Joe Fernandes,Frank Bennett,Conor Corcoran,Derrick W Coker,Omar Sabir,Donna Derose,Marnie Aument Loughrey,Lewis Harris Jr,Warren Bloom,Tia M Seibert,Donna Marie Laws,Suzanne Harmon Carn,Tyrone T Martin,Sharif Ali,Bobbie T Curry,Inja Coates,Ashley Michelle Cook,Holly A Harris Seidle,David Mamikonyan,Wayne E Dorsey,Brigitte A Garvin Johnson,Bruce H Bailey,Keith Jackson,Jose A Figueroa,Verna Ragan Tennant,James Johnson,Ryan Mulvey,Robert Tuerk,Kyle J Sampson,All
,Martin Coleman,Henry Lewandowski,Tracy B Roman,Fran Shields,Joe Fernandes,Shoshana Bricklin,Robert M Kline,Conor Corcoran,Daine A Grey Jr,Frank Bennett,Derrick W Coker,Omar Sabir,Lewis Harris Jr,Donna Derose,Suzanne Harmon Carn,Warren Bloom,Donna Marie Laws,Inja Coates,Marnie Aument Loughrey,Tia M Seibert,Sharif Ali,Brigitte A Garvin Johnson,Ashley Michelle Cook,Keith Jackson,Wayne E Dorsey,Bobbie T Curry,Bruce H Bailey,David Mamikonyan,James Johnson,Jose A Figueroa,Holly A Harris Seidle,Kyle J Sampson,Robert Tuerk,Ryan Mulvey,Tyrone T Martin,Verna Ragan Tennant,2
Martin Coleman,0,9,5,4,1,2,1,1,0,1,0,8,6,2,5,4,0,2,2,4,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,2
Henry Lewandowski,,0,6,5,1,2,0,1,0,0,0,6,5,6,4,3,3,2,4,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Tracy B Roman,,,0,1,1,1,1,0,0,0,0,1,7,0,6,6,2,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Fran Shields,,,,0,0,2,1,0,0,0,0,4,0,4,0,0,2,2,3,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Joe Fernandes,,,,,0,1,3,1,1,0,0,2,1,1,1,1,1,1,2,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2
Shoshana Bricklin,,,,,,0,0,1,0,0,0,1,0,2,0,0,2,4,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
Robert M Kline,,,,,,,0,1,1,0,0,1,1,0,1,1,1,0,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2
Conor Corcoran,,,,,,,,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2
Daine A Grey Jr,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
