col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Allan Domb,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,David Oh,Bill Heeney,Dan Tinney,Al Taubenberger,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,All
Maj Toure,,,,,,,,,,,,,,,0,0,1,0,0,0,0,6
Nicolas O'Rourke,,,,,,,,,,,,,,,,0,0,0,0,0,0,6
Clarc King,,,,,,,,,,,,,,,,,0,0,0,0,0,6
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,0,0,0,6
Joe Cox,,,,,,,,,,,,,,,,,,,0,0,0,6
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,0,6
Write-In,,,,,,,,,,,,,,,,,,,,,0,6
Total,66,32,0,57,56,55,52,51,29,28,25,25,21,7,3,3,2,1,0,0,0,6
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,7
,Jim Kenney,Billy Ciancaglini,Write-In,Katherine Gilmore Richardson,Helen Gym,Allan Domb,Derek S Green,Isaiah Thomas,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,David Oh,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Clarc King,Joe Cox,Maj Toure,Write-In,Steve Cherniavsky,7
Jim Kenney,0,0,0,43,40,39,39,39,1,1,1,1,0,4,2,2,2,1,0,1,0,7
Billy Ciancaglini,,1,0,3,2,2,2,1,35,35,34,31,31,0,1,0,0,1,1,0,0,7
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Katherine Gilmore Richardson,,,,0,41,39,38,38,2,2,2,0,1,4,2,2,1,0,0,0,0,7
Helen Gym,,,,,0,38,37,37,1,1,1,0,0,4,3,4,1,0,0,0,0,7
Allan Domb,,,,,,0,38,37,2,1,2,1,1,0,0,0,0,0,0,0,0,7
Derek S Green,,,,,,,0,39,1,0,1,0,1,1,1,0,1,1,0,1,0,7
Isaiah Thomas,,,,,,,,0,0,0,0,0,0,1,1,0,1,1,0,1,0,7
Al Taubenberger,,,,,,,,,0,35,35,32,30,0,1,0,0,0,1,0,0,7
Bill Heeney,,,,,,,,,,0,34,32,29,0,1,0,0,0,1,0,0,7
Dan Tinney,,,,,,,,,,,0,31,29,0,1,0,0,0,0,0,0,7
Matt Wolfe,,,,,,,,,,,,0,27,1,1,1,1,1,1,0,0,7
David Oh,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,7
Kendra Brooks,,,,,,,,,,,,,,0,4,5,2,1,0,0,0,7
Nicolas O'Rourke,,,,,,,,,,,,,,,0,3,0,0,0,0,0,7
Sherrie Cohen,,,,,,,,,,,,,,,,0,2,1,0,0,0,7
Clarc King,,,,,,,,,,,,,,,,,0,2,0,1,0,7
Joe Cox,,,,,,,,,,,,,,,,,,0,0,1,0,7
Maj Toure,,,,,,,,,,,,,,,,,,,0,0,0,7
Write-In,,,,,,,,,,,,,,,,,,,,0,0,7
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,0,7
Total,48,40,0,46,44,41,41,40,36,36,35,33,31,7,5,5,3,3,1,1,0,7
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,8
,Jim Kenney,Billy Ciancaglini,Write-In,Allan Domb,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Al Taubenberger,Dan Tinney,Bill Heeney,David Oh,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Clarc King,Joe Cox,Sherrie Cohen,Steve Cherniavsky,Write-In,8
Jim Kenney,1,0,0,45,42,41,40,40,5,6,5,4,1,7,5,1,1,0,1,0,1,8
Billy Ciancaglini,,1,0,3,3,2,3,3,28,27,27,27,28,1,1,1,0,1,0,1,0,8
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Allan Domb,,,,0,40,40,38,37,4,5,4,4,1,5,3,1,0,0,1,1,1,8
