col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Fatimah Loren Muhammad,James R Roebuck,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Stephen A Cozen,Jerome W Mondesire,Jerry T Jordan,Andrew P Toy,Eleanor M Dezzi,Joseph C Meade,Nancy Astor Fox,Michelle W Singer,Heather Steinmiller,Raye E Johnson,William S Leopold,All
Nancy Astor Fox,,,,,,,,,,,,,,0,23,22,22,20,20,12
Heather Steinmiller,,,,,,,,,,,,,,,0,22,22,22,22,12
Raye E Johnson,,,,,,,,,,,,,,,,0,21,22,21,12
Eleanor M Dezzi,,,,,,,,,,,,,,,,,0,20,21,12
Joseph C Meade,,,,,,,,,,,,,,,,,,0,22,12
William S Leopold,,,,,,,,,,,,,,,,,,,0,12
Total,76,35,60,53,51,47,42,32,30,28,27,27,27,27,26,26,25,25,24,12
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,13
,Fatimah Loren Muhammad,James R Roebuck,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Nancy Astor Fox,Andrew P Toy,Jerry T Jordan,Michelle W Singer,Stephen A Cozen,Joseph C Meade,Raye E Johnson,Heather Steinmiller,William S Leopold,Eleanor M Dezzi,Jerome W Mondesire,13
Fatimah Loren Muhammad,19,0,36,30,24,22,21,17,18,15,15,14,17,15,16,14,14,14,13,13
James R Roebuck,,12,27,22,21,18,17,12,10,11,11,12,9,10,9,10,10,9,10,13
Kenyatta J Johnson,,,0,44,40,36,35,25,26,24,24,24,23,23,23,22,22,22,21,13
Blondell Reynolds Brown,,,,0,38,35,34,26,26,24,25,24,24,25,24,24,24,22,22,13
Cindy Bass,,,,,0,37,33,23,23,23,24,23,23,22,21,22,22,21,21,13
Mark Alan Aronchick,,,,,,0,34,23,23,23,23,23,22,23,22,22,22,21,21,13
Jacquelyn Manns Smalley,,,,,,,0,23,23,23,22,22,21,22,22,21,21,20,22,13
Vincent J Hughes,,,,,,,,0,25,25,23,24,24,25,24,23,23,23,23,13
Nancy Astor Fox,,,,,,,,,0,24,25,24,23,24,25,23,23,22,21,13
Andrew P Toy,,,,,,,,,,0,23,23,23,24,22,22,22,21,23,13
Jerry T Jordan,,,,,,,,,,,0,25,22,23,23,24,24,22,21,13
Michelle W Singer,,,,,,,,,,,,0,22,23,23,24,24,23,21,13
Stephen A Cozen,,,,,,,,,,,,,0,23,23,22,22,22,22,13
Joseph C Meade,,,,,,,,,,,,,,0,23,23,23,22,22,13
Raye E Johnson,,,,,,,,,,,,,,,0,23,23,22,21,13
Heather Steinmiller,,,,,,,,,,,,,,,,0,24,22,21,13
William S Leopold,,,,,,,,,,,,,,,,,0,22,21,13
Eleanor M Dezzi,,,,,,,,,,,,,,,,,,0,20,13
Jerome W Mondesire,,,,,,,,,,,,,,,,,,,0,13
Total,64,44,63,53,46,41,39,29,28,26,26,26,26,25,25,24,24,23,23,13
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,23
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Heather Steinmiller,Andrew P Toy,Stephen A Cozen,Eleanor M Dezzi,Jerry T Jordan,Michelle W Singer,Nancy Astor Fox,Raye E Johnson,William S Leopold,Jerome W Mondesire,Joseph C Meade,Fatimah Loren Muhammad,James R Roebuck,23
Kenyatta J Johnson,0,64,60,56,50,41,35,35,33,34,31,32,32,32,31,31,31,46,28,23
Blondell Reynolds Brown,,0,59,58,48,42,37,36,35,36,33,33,34,34,32,32,33,41,30,23
Cindy Bass,,,0,54,51,41,37,35,36,36,34,34,34,33,34,33,33,38,25,23
Mark Alan Aronchick,,,,0,44,36,34,33,33,34,32,31,32,33,32,31,33,33,25,23
Jacquelyn Manns Smalley,,,,,1,36,34,32,34,33,31,33,31,31,31,31,30,31,21,23
