col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Anthony Clark,Tracey L Gordon,Omar Sabir,Will Mega,Lisa M Deeley,Carol A Jenkins,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,All
Total,60,22,15,13,11,8,43,35,35,22,13,9,6,2,9
,Judge Of The Municipal Court - Democrat,,,,,,,,City Commissioners - Democrat,,,,,,10
,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,Christian Dicicco,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Will Mega,Omar Sabir,Carol A Jenkins,10
Sharon Williams Losier,2,29,20,9,4,7,3,0,35,20,4,7,8,3,10
Joffie C Pittman,,0,18,8,3,5,2,0,24,15,2,7,7,3,10
Christine Hope,,,0,3,5,4,5,3,17,16,12,2,7,6,10
Matthew Perks,,,,0,3,0,0,1,7,3,3,5,0,2,10
Gary S Silver,,,,,1,2,0,0,4,2,3,0,3,4,10
Daniel R Sulman,,,,,,0,0,0,6,2,4,1,4,0,10
Franklin A Bennett Iii,,,,,,,0,2,4,3,2,0,1,2,10
Christian Dicicco,,,,,,,,0,1,2,3,0,0,1,10
Anthony Clark,,,,,,,,,2,16,2,4,3,2,10
Lisa M Deeley,,,,,,,,,,0,3,1,1,1,10
Tracey L Gordon,,,,,,,,,,,4,1,2,3,10
Will Mega,,,,,,,,,,,,3,2,0,10
Omar Sabir,,,,,,,,,,,,,1,1,10
Carol A Jenkins,,,,,,,,,,,,,,0,10
Total,50,36,34,15,11,9,6,4,42,24,17,15,14,8,10
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,11
,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Will Mega,Carol A Jenkins,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Christian Dicicco,Daniel R Sulman,Gary S Silver,Matthew Perks,Franklin A Bennett Iii,11
Anthony Clark,10,13,11,10,2,3,37,30,19,6,6,6,4,4,11
Omar Sabir,,6,3,5,6,2,20,12,15,3,4,3,2,3,11
Lisa M Deeley,,,2,1,1,2,13,12,17,2,2,0,1,0,11
Tracey L Gordon,,,,2,2,2,10,6,10,4,3,6,2,0,11
Will Mega,,,,,0,0,15,7,9,3,1,0,2,0,11
Carol A Jenkins,,,,,,2,4,2,6,3,1,1,1,5,11
Sharon Williams Losier,,,,,,,4,31,29,8,4,6,3,4,11
Joffie C Pittman,,,,,,,,2,21,3,5,2,0,2,11
Christine Hope,,,,,,,,,0,5,4,5,5,3,11
Christian Dicicco,,,,,,,,,,0,2,1,1,1,11
Daniel R Sulman,,,,,,,,,,,0,1,0,0,11
Gary S Silver,,,,,,,,,,,,0,1,0,11
Matthew Perks,,,,,,,,,,,,,0,1,11
Franklin A Bennett Iii,,,,,,,,,,,,,,0,11
Total,67,36,23,22,17,11,64,44,43,11,9,9,7,6,11
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,12
,Anthony Clark,Omar Sabir,Lisa M Deeley,Will Mega,Carol A Jenkins,Tracey L Gordon,Sharon Williams Losier,Joffie C Pittman,Daniel R Sulman,Christine Hope,Matthew Perks,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,12
Anthony Clark,5,13,7,3,3,2,32,17,14,10,6,4,3,2,12
Omar Sabir,,2,0,2,0,2,13,10,12,1,1,1,0,1,12
Lisa M Deeley,,,1,1,0,0,7,6,0,7,0,0,0,1,12
Will Mega,,,,0,0,0,5,5,0,4,1,1,1,0,12
Carol A Jenkins,,,,,0,0,4,1,1,1,2,2,0,1,12
Tracey L Gordon,,,,,,1,2,1,2,2,1,2,0,0,12
Sharon Williams Losier,,,,,,,2,17,13,13,4,4,2,2,12
Joffie C Pittman,,,,,,,,1,7,9,2,1,0,2,12
Daniel R Sulman,,,,,,,,,0,1,2,2,0,0,12
Christine Hope,,,,,,,,,,0,0,2,1,1,12
Matthew Perks,,,,,,,,,,,0,2,1,0,12
Gary S Silver,,,,,,,,,,,,0,0,1,12
Christian Dicicco,,,,,,,,,,,,,1,0,12
Franklin A Bennett Iii,,,,,,,,,,,,,,0,12
Total,44,20,11,8,5,5,40,26,16,15,7,6,5,3,12
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,13
,Anthony Clark,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Will Mega,Omar Sabir,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Christian Dicicco,Daniel R Sulman,13
Anthony Clark,9,10,3,2,5,2,27,17,19,11,6,5,4,3,13
Lisa M Deeley,,0,1,0,0,0,11,10,8,0,1,1,2,1,13
Carol A Jenkins,,,0,4,1,1,7,9,3,0,2,2,2,1,13
Tracey L Gordon,,,,1,1,0,3,4,2,1,4,3,2,1,13
Will Mega,,,,,0,0,6,1,5,5,0,2,1,1,13
Omar Sabir,,,,,,2,4,2,3,1,0,0,0,0,13
Sharon Williams Losier,,,,,,,2,18,18,5,2,2,3,3,13
Christine Hope,,,,,,,,1,11,1,3,3,3,2,13
Joffie C Pittman,,,,,,,,,0,6,1,0,1,0,13
Matthew Perks,,,,,,,,,,0,3,2,2,1,13
Gary S Silver,,,,,,,,,,,0,3,2,1,13
Franklin A Bennett Iii,,,,,,,,,,,,0,1,1,13
Christian Dicicco,,,,,,,,,,,,,0,0,13
Daniel R Sulman,,,,,,,,,,,,,,0,13
Total,51,13,10,10,7,6,39,27,24,11,8,7,6,4,13
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,14
,Anthony Clark,Tracey L Gordon,Omar Sabir,Carol A Jenkins,Lisa M Deeley,Will Mega,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Franklin A Bennett Iii,Gary S Silver,Christian Dicicco,Daniel R Sulman,14
Anthony Clark,11,15,3,9,12,3,43,33,26,10,11,9,2,2,14
Tracey L Gordon,,3,3,1,0,0,18,11,6,8,5,5,2,0,14
Omar Sabir,,,4,3,0,2,10,6,6,4,6,1,0,1,14
Carol A Jenkins,,,,0,3,2,9,12,7,6,3,4,2,2,14
Lisa M Deeley,,,,,0,1,14,15,12,2,0,2,1,1,14
Will Mega,,,,,,3,7,4,3,2,1,3,0,1,14
Sharon Williams Losier,,,,,,,2,35,23,12,7,6,3,0,14
Christine Hope,,,,,,,,1,21,5,7,5,3,1,14
Joffie C Pittman,,,,,,,,,0,7,3,1,0,2,14
Matthew Perks,,,,,,,,,,1,2,3,1,0,14
Franklin A Bennett Iii,,,,,,,,,,,0,4,0,1,14
Gary S Silver,,,,,,,,,,,,0,1,1,14
Christian Dicicco,,,,,,,,,,,,,1,0,14
Daniel R Sulman,,,,,,,,,,,,,,0,14
Total,73,25,21,19,17,14,63,45,35,20,16,14,6,4,14
,Judge Of The Municipal Court - Democrat,,,,,,,,City Commissioners - Democrat,,,,,,15
,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,Anthony Clark,Tracey L Gordon,Omar Sabir,Lisa M Deeley,Will Mega,Carol A Jenkins,15
Sharon Williams Losier,2,28,32,15,3,1,2,2,33,11,9,13,8,8,15
Christine Hope,,1,29,5,7,4,2,3,22,17,15,16,5,8,15
Joffie C Pittman,,,3,8,4,1,1,2,23,11,12,13,8,5,15
Matthew Perks,,,,0,1,0,3,0,12,5,3,1,4,5,15
Christian Dicicco,,,,,0,1,1,0,7,2,5,3,2,0,15
Gary S Silver,,,,,,0,0,1,0,5,1,0,0,4,15
Franklin A Bennett Iii,,,,,,,0,0,3,1,2,1,1,1,15
Daniel R Sulman,,,,,,,,0,0,3,1,1,1,2,15
Anthony Clark,,,,,,,,,7,5,3,10,5,3,15
Tracey L Gordon,,,,,,,,,,0,7,0,4,6,15
Omar Sabir,,,,,,,,,,,3,4,1,1,15
Lisa M Deeley,,,,,,,,,,,,1,1,2,15
Will Mega,,,,,,,,,,,,,2,1,15
Carol A Jenkins,,,,,,,,,,,,,,0,15
Total,53,47,46,20,11,6,5,4,51,23,22,20,16,14,15
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,16
,Anthony Clark,Tracey L Gordon,Carol A Jenkins,Will Mega,Lisa M Deeley,Omar Sabir,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,16
Anthony Clark,6,4,2,4,2,4,20,10,17,11,3,2,1,2,16
Tracey L Gordon,,0,5,1,2,1,11,10,4,4,2,4,2,1,16
Carol A Jenkins,,,0,0,1,1,4,9,4,1,3,1,2,0,16
Will Mega,,,,1,5,0,6,2,3,3,1,1,1,0,16
Lisa M Deeley,,,,,0,0,7,5,3,0,2,2,1,2,16
Omar Sabir,,,,,,1,4,3,2,2,2,1,1,0,16
Sharon Williams Losier,,,,,,,0,14,13,6,2,3,1,2,16
Christine Hope,,,,,,,,1,9,2,2,2,1,1,16
Joffie C Pittman,,,,,,,,,3,4,2,1,2,0,16
Matthew Perks,,,,,,,,,,1,1,1,0,0,16
Christian Dicicco,,,,,,,,,,,0,0,1,0,16
Gary S Silver,,,,,,,,,,,,1,1,1,16
Daniel R Sulman,,,,,,,,,,,,,0,0,16
Franklin A Bennett Iii,,,,,,,,,,,,,,0,16
Total,42,17,14,13,12,10,33,25,24,14,9,7,4,3,16
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,17
,Anthony Clark,Tracey L Gordon,Carol A Jenkins,Omar Sabir,Will Mega,Lisa M Deeley,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Gary S Silver,Franklin A Bennett Iii,Matthew Perks,Christian Dicicco,Daniel R Sulman,17
Anthony Clark,3,9,5,7,2,4,18,17,13,8,7,6,3,2,17
