col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Derek S Green,Isaiah Thomas,W Wilson Goode Jr,Allan Domb,Blondell Reynolds Brown,Sherrie Cohen,William K Greenlee,Jenne Ayers,Ed Neilson,Thomas Wyatt,Wilson Alexander,Carla M Cain,Marnie Aument Loughrey,Paul Steinke,Frank Rizzo,Helen Gym,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,8
Derek S Green,1,23,10,13,11,19,16,15,16,12,10,4,6,4,3,2,38,33,27,13,3,6,4,4,8
Isaiah Thomas,,10,15,10,11,17,16,1,13,6,2,3,3,6,3,2,22,17,22,4,6,2,4,2,8
W Wilson Goode Jr,,,7,15,15,10,8,3,3,5,1,2,0,4,5,3,9,10,12,6,8,5,1,2,8
Allan Domb,,,,3,14,8,6,8,1,11,3,5,3,2,3,1,13,6,13,7,9,4,4,2,8
Blondell Reynolds Brown,,,,,1,7,6,5,3,7,2,3,3,3,2,2,12,8,9,5,8,4,3,2,8
Sherrie Cohen,,,,,,1,16,5,13,3,0,3,1,2,2,2,19,13,19,2,3,3,0,3,8
William K Greenlee,,,,,,,2,3,13,3,0,1,2,0,2,0,15,13,13,6,3,2,1,3,8
Jenne Ayers,,,,,,,,3,3,5,9,3,2,1,2,1,13,10,4,10,2,3,2,1,8
Ed Neilson,,,,,,,,,0,1,1,0,3,0,1,1,12,10,10,1,1,1,1,1,8
Thomas Wyatt,,,,,,,,,,0,4,2,2,4,1,0,7,8,8,6,2,4,3,1,8
Wilson Alexander,,,,,,,,,,,0,2,1,0,1,0,11,11,3,9,1,1,2,0,8
Carla M Cain,,,,,,,,,,,,1,1,0,1,2,6,2,6,2,3,1,1,0,8
Marnie Aument Loughrey,,,,,,,,,,,,,1,0,0,1,4,4,3,1,2,0,2,0,8
Paul Steinke,,,,,,,,,,,,,,0,0,1,3,3,4,0,1,0,0,1,8
Frank Rizzo,,,,,,,,,,,,,,,0,1,3,3,3,2,2,1,1,0,8
Helen Gym,,,,,,,,,,,,,,,,0,2,4,2,0,2,1,1,0,8
Sharon Williams Losier,,,,,,,,,,,,,,,,,4,27,28,10,3,4,2,2,8
Joffie C Pittman,,,,,,,,,,,,,,,,,,2,20,11,4,2,3,1,8
Christine Hope,,,,,,,,,,,,,,,,,,,2,2,4,4,3,2,8
Matthew Perks,,,,,,,,,,,,,,,,,,,,0,3,2,2,2,8
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,0,1,2,1,8
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,0,0,0,8
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,0,0,8
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,0,8
Total,66,51,41,40,33,32,27,25,20,19,17,11,8,8,7,5,61,47,41,19,15,9,6,5,8
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,9
,Derek S Green,Blondell Reynolds Brown,W Wilson Goode Jr,Isaiah Thomas,Sherrie Cohen,Ed Neilson,William K Greenlee,Allan Domb,Helen Gym,Thomas Wyatt,Jenne Ayers,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Sharon Williams Losier,Christine Hope,Matthew Perks,Joffie C Pittman,Franklin A Bennett Iii,Gary S Silver,Christian Dicicco,Daniel R Sulman,9
Derek S Green,6,31,29,17,15,20,12,11,7,11,6,9,4,2,2,1,33,19,28,18,8,7,5,4,9
Blondell Reynolds Brown,,0,42,21,19,23,15,14,12,7,3,6,5,7,3,3,26,20,25,17,10,7,5,2,9
W Wilson Goode Jr,,,3,17,16,25,12,11,8,6,2,2,4,3,3,0,20,16,24,14,11,5,5,1,9
Isaiah Thomas,,,,2,15,8,14,10,7,9,3,2,1,4,0,1,21,21,6,14,7,3,2,2,9
Sherrie Cohen,,,,,1,11,14,7,9,3,6,1,3,2,4,0,19,20,8,12,5,4,5,0,9
Ed Neilson,,,,,,0,10,3,3,3,1,1,4,1,0,1,12,13,19,9,3,2,2,1,9
William K Greenlee,,,,,,,0,5,7,3,2,3,3,2,1,0,20,13,3,14,4,1,4,1,9
Allan Domb,,,,,,,,2,3,6,3,2,4,3,2,2,10,13,2,5,3,4,2,0,9
Helen Gym,,,,,,,,,0,3,4,0,2,1,0,0,9,8,3,9,2,1,1,0,9
Thomas Wyatt,,,,,,,,,,0,4,2,3,1,0,0,10,11,6,5,6,6,1,1,9
Jenne Ayers,,,,,,,,,,,0,6,3,2,0,1,8,7,3,7,3,4,1,1,9
Wilson Alexander,,,,,,,,,,,,1,1,1,0,1,8,3,7,7,1,3,1,1,9
Carla M Cain,,,,,,,,,,,,,0,0,0,0,4,10,4,2,1,4,2,1,9
Paul Steinke,,,,,,,,,,,,,,0,0,1,4,3,1,5,1,2,0,1,9
Frank Rizzo,,,,,,,,,,,,,,,0,0,2,0,1,1,1,1,3,0,9
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,1,2,1,0,0,1,0,0,9
Sharon Williams Losier,,,,,,,,,,,,,,,,,4,25,9,22,5,6,3,2,9
Christine Hope,,,,,,,,,,,,,,,,,,0,9,15,7,7,2,0,9
Matthew Perks,,,,,,,,,,,,,,,,,,,1,5,5,4,3,1,9
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,0,5,1,3,3,9
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,0,3,2,0,9
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,0,0,2,9
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,0,0,9
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,1,9
Total,77,62,60,41,35,33,29,28,21,18,16,15,12,8,4,3,62,41,38,34,15,15,8,5,9
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,10
