col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,All
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Helen Gym,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Omar Sabir,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,All
Paul Steinke,,,,,,,,,,,,,,0,0,1,3,5,2,1,1,0,3
Frank Rizzo,,,,,,,,,,,,,,,0,1,2,1,1,2,2,2,3
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,3,1,0,1,1,0,3
Anthony Clark,,,,,,,,,,,,,,,,,3,8,2,11,5,2,3
Omar Sabir,,,,,,,,,,,,,,,,,,0,25,4,4,3,3
Lisa M Deeley,,,,,,,,,,,,,,,,,,,0,1,2,2,3
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,1,4,2,3
Carol A Jenkins,,,,,,,,,,,,,,,,,,,,,0,0,3
Will Mega,,,,,,,,,,,,,,,,,,,,,,1,3
Total,138,136,70,53,40,33,30,25,24,23,14,14,13,11,6,4,56,51,39,27,18,13,3
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,4
,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,Allan Domb,William K Greenlee,Ed Neilson,Jenne Ayers,W Wilson Goode Jr,Helen Gym,Sherrie Cohen,Thomas Wyatt,Carla M Cain,Wilson Alexander,Frank Rizzo,Marnie Aument Loughrey,Paul Steinke,Anthony Clark,Omar Sabir,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Will Mega,4
Derek S Green,3,33,34,16,30,25,14,10,8,11,12,9,10,3,3,3,39,37,25,11,9,9,4
Blondell Reynolds Brown,,1,33,17,25,18,11,19,13,14,9,6,5,2,2,0,24,33,21,7,6,5,4
Isaiah Thomas,,,3,8,26,21,7,16,8,12,5,6,3,2,0,0,17,33,23,6,7,3,4
