col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
Isaiah Thomas,,,,,2,71,63,38,17,8,17,13,6,6,4,6,7,1,8
William K Greenlee,,,,,,0,60,16,6,2,8,3,8,3,2,1,2,2,8
Ed Neilson,,,,,,,0,10,3,2,2,2,1,2,2,2,2,2,8
W Wilson Goode Jr,,,,,,,,1,12,9,11,12,7,3,4,11,5,1,8
Allan Domb,,,,,,,,,4,6,6,6,5,5,2,3,2,4,8
Jenne Ayers,,,,,,,,,,0,6,11,6,8,6,3,0,4,8
Helen Gym,,,,,,,,,,,1,6,2,1,3,1,3,2,8
Sherrie Cohen,,,,,,,,,,,,0,4,6,4,3,0,1,8
Wilson Alexander,,,,,,,,,,,,,0,4,1,1,0,2,8
Thomas Wyatt,,,,,,,,,,,,,,0,5,2,1,2,8
Carla M Cain,,,,,,,,,,,,,,,0,4,0,2,8
Frank Rizzo,,,,,,,,,,,,,,,,0,1,0,8
Paul Steinke,,,,,,,,,,,,,,,,,0,1,8
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,8
Total,194,11,154,147,132,100,74,66,40,33,31,27,20,19,15,14,10,8,8
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,9
,Alice Beck Dubow,Robert Colville,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,W Wilson Goode Jr,Allan Domb,Ed Neilson,Helen Gym,Sherrie Cohen,Thomas Wyatt,Jenne Ayers,Frank Rizzo,Wilson Alexander,Paul Steinke,Carla M Cain,Marnie Aument Loughrey,9
Alice Beck Dubow,4,0,136,131,117,79,58,56,60,42,30,28,25,16,18,15,13,3,9
Robert Colville,,2,13,7,7,3,7,5,0,4,6,4,2,1,3,2,2,1,9
Derek S Green,,,2,104,92,73,39,39,57,28,21,26,16,11,16,11,11,4,9
Isaiah Thomas,,,,5,95,67,53,36,57,30,19,21,13,10,5,13,3,1,9
Blondell Reynolds Brown,,,,,3,67,53,38,43,28,23,11,10,16,10,8,7,3,9
William K Greenlee,,,,,,0,22,15,49,11,16,5,8,7,0,2,3,1,9
W Wilson Goode Jr,,,,,,,4,24,8,19,16,14,7,9,5,7,3,0,9
Allan Domb,,,,,,,,4,7,20,12,17,10,7,8,6,8,2,9
Ed Neilson,,,,,,,,,0,4,6,3,2,1,1,3,0,1,9
Helen Gym,,,,,,,,,,0,12,5,8,3,1,6,5,0,9
Sherrie Cohen,,,,,,,,,,,0,7,5,11,2,4,5,1,9
Thomas Wyatt,,,,,,,,,,,,0,5,2,9,12,5,2,9
