col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Thaddeus Kirkland,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Blake Rutherford,Anne Wakabayashi,Jennifer Lentz,Maria Quinones Sanchez,Leanne Krueger Braneky,Angel Cruz,Cathy Brady,Ryan N Boyer,Ted Kirsch,All
Hillary Clinton,,28,0,8,8,6,36,2,3,1,25,17,18,16,14,17,15,11,14,7
Roque Rocky De La Fuente,,,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,7
H Douglass Brown,,,,0,50,42,17,41,39,38,12,14,11,11,8,9,7,11,2,7
Peter Cutty,,,,,0,41,16,38,40,37,11,14,11,10,9,8,6,10,2,7
Amanda Mcillmurray,,,,,,0,14,37,38,36,10,12,10,10,7,7,6,9,3,7
Thaddeus Kirkland,,,,,,,0,9,10,8,26,20,20,21,17,18,19,15,14,7
Kat Richter,,,,,,,,0,38,38,5,9,7,7,9,6,5,7,2,7
Katherine Hunter Snyder,,,,,,,,,0,37,5,10,9,6,8,5,5,7,2,7
Jacob Adeniran,,,,,,,,,,0,4,8,7,5,7,4,4,7,1,7
Blake Rutherford,,,,,,,,,,,0,16,14,16,11,14,12,11,11,7
Jennifer Lentz,,,,,,,,,,,,0,19,18,16,19,15,14,13,7
Leanne Krueger Braneky,,,,,,,,,,,,,0,16,17,18,16,14,13,7
Anne Wakabayashi,,,,,,,,,,,,,,0,13,15,15,15,11,7
Angel Cruz,,,,,,,,,,,,,,,0,15,16,10,14,7
Cathy Brady,,,,,,,,,,,,,,,,0,15,12,13,7
Maria Quinones Sanchez,,,,,,,,,,,,,,,,,0,8,14,7
Ryan N Boyer,,,,,,,,,,,,,,,,,,0,8,7
Ted Kirsch,,,,,,,,,,,,,,,,,,,0,7
Total,79,71,1,65,55,48,46,43,41,39,31,26,24,23,21,21,20,18,15,7
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,8
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Katherine Hunter Snyder,Kat Richter,Jacob Adeniran,Thaddeus Kirkland,Anne Wakabayashi,Blake Rutherford,Leanne Krueger Braneky,Maria Quinones Sanchez,Angel Cruz,Jennifer Lentz,Ryan N Boyer,Cathy Brady,Ted Kirsch,8
Bernie Sanders,19,0,0,82,72,65,57,57,58,9,9,5,6,2,4,8,7,9,4,8
Hillary Clinton,,19,0,6,9,9,7,6,3,39,29,33,29,30,27,23,24,21,22,8
Roque Rocky De La Fuente,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
H Douglass Brown,,,,0,70,65,60,59,59,9,12,8,9,4,8,11,10,10,7,8
Peter Cutty,,,,,0,66,60,62,58,10,14,11,10,6,11,13,12,11,8,8
Amanda Mcillmurray,,,,,,0,60,60,57,11,14,11,10,6,10,12,10,11,7,8
Katherine Hunter Snyder,,,,,,,0,57,56,5,7,6,7,4,9,7,7,7,8,8
Kat Richter,,,,,,,,0,55,4,9,6,6,3,9,10,7,7,4,8
Jacob Adeniran,,,,,,,,,0,5,6,5,5,4,5,5,5,5,6,8
