col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Kathryn S Huggins,Liam G Boyle,Rebecca Poyourow,Joe Khan,John Brady,Lisa Rhodes,Ken Washington,Linda Norris,Monica Maria Djerassi,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,29
Kathryn S Huggins,2,30,32,20,20,24,23,20,20,20,14,14,9,3,29
Liam G Boyle,,7,28,19,17,15,20,12,11,15,13,12,5,4,29
Rebecca Poyourow,,,0,23,21,22,16,20,23,12,15,10,6,5,29
Joe Khan,,,,2,21,11,10,10,12,9,9,7,6,6,29
John Brady,,,,,1,12,10,10,9,8,12,8,6,7,29
Lisa Rhodes,,,,,,0,9,19,14,12,13,4,6,8,29
Ken Washington,,,,,,,0,8,7,17,2,11,5,9,29
Linda Norris,,,,,,,,0,11,7,8,2,3,10,29
Monica Maria Djerassi,,,,,,,,,0,6,8,5,3,11,29
Dewayne Drummond,,,,,,,,,,0,2,9,7,12,29
Jacque Whaumbush,,,,,,,,,,,1,4,2,13,29
Kevin Bundy,,,,,,,,,,,,1,3,14,29
Nat Lownes,,,,,,,,,,,,,0,15,29
Total,52,45,44,33,31,31,27,25,25,23,19,17,11,16,29
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,33
,Rebecca Poyourow,Kathryn S Huggins,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Joe Khan,Linda Norris,Ken Washington,John Brady,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,33
Rebecca Poyourow,17,64,52,46,44,35,44,34,34,33,35,17,7,3,33
Kathryn S Huggins,,9,45,44,45,19,40,39,21,36,24,20,9,4,33
Liam G Boyle,,,8,28,31,26,22,34,29,26,23,20,7,5,33
Lisa Rhodes,,,,1,35,16,38,26,14,26,25,11,7,6,33
Monica Maria Djerassi,,,,,0,21,29,22,15,18,26,15,8,7,33
Joe Khan,,,,,,4,13,12,23,10,23,10,3,8,33
Linda Norris,,,,,,,1,23,11,25,22,8,6,9,33
Ken Washington,,,,,,,,1,11,31,7,10,7,10,33
John Brady,,,,,,,,,1,13,15,13,2,11,33
Dewayne Drummond,,,,,,,,,,0,10,12,5,12,33
Jacque Whaumbush,,,,,,,,,,,0,10,6,13,33
Kevin Bundy,,,,,,,,,,,,2,5,14,33
Nat Lownes,,,,,,,,,,,,,0,15,33
Total,114,86,80,56,56,51,51,49,46,44,43,31,12,16,33
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,34
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Joe Khan,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Jacque Whaumbush,John Brady,Ken Washington,Dewayne Drummond,Kevin Bundy,Nat Lownes,2,34
Kathryn S Huggins,17,54,40,41,56,50,52,32,31,26,28,26,16,3,34
Rebecca Poyourow,,1,40,39,40,41,38,38,29,18,15,16,10,4,34
Liam G Boyle,,,4,42,29,29,24,32,38,16,14,23,11,5,34
Joe Khan,,,,1,32,30,28,32,32,13,16,17,10,6,34
Lisa Rhodes,,,,,1,41,50,31,20,16,19,17,11,7,34
Monica Maria Djerassi,,,,,,0,44,25,19,14,12,13,8,8,34
Linda Norris,,,,,,,0,26,16,15,16,10,9,9,34
Jacque Whaumbush,,,,,,,,2,25,12,10,5,5,10,34
John Brady,,,,,,,,,2,11,6,14,9,11,34
Ken Washington,,,,,,,,,,2,18,12,9,12,34
Dewayne Drummond,,,,,,,,,,,1,16,12,13,34
Kevin Bundy,,,,,,,,,,,,0,9,14,34
Nat Lownes,,,,,,,,,,,,,0,15,34
Total,106,75,71,69,69,63,62,56,51,37,36,33,21,16,34
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,35
,Liam G Boyle,Rebecca Poyourow,Kathryn S Huggins,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Joe Khan,Ken Washington,John Brady,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,35
Liam G Boyle,8,53,53,35,33,32,35,38,33,23,24,20,7,3,35
Rebecca Poyourow,,1,53,39,41,40,37,27,29,20,27,13,4,4,35
Kathryn S Huggins,,,2,35,36,38,30,34,23,29,19,20,5,5,35
Linda Norris,,,,1,33,25,20,18,16,15,14,9,1,6,35
Lisa Rhodes,,,,,0,25,24,17,20,13,17,8,2,7,35
Monica Maria Djerassi,,,,,,0,21,18,16,15,17,11,6,8,35
Joe Khan,,,,,,,0,13,26,8,18,7,1,9,35
Ken Washington,,,,,,,,1,11,23,8,17,6,10,35
John Brady,,,,,,,,,0,7,18,12,2,11,35
Dewayne Drummond,,,,,,,,,,0,5,11,1,12,35
Jacque Whaumbush,,,,,,,,,,,0,7,2,13,35
Kevin Bundy,,,,,,,,,,,,1,1,14,35
Nat Lownes,,,,,,,,,,,,,0,15,35
Total,82,73,72,49,48,48,45,42,38,30,30,25,7,16,35
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,36
,Liam G Boyle,Kathryn S Huggins,Rebecca Poyourow,Joe Khan,Lisa Rhodes,John Brady,Linda Norris,Jacque Whaumbush,Monica Maria Djerassi,Dewayne Drummond,Kevin Bundy,Ken Washington,Nat Lownes,2,36
Liam G Boyle,2,14,14,12,7,15,8,10,5,7,8,5,2,3,36
Kathryn S Huggins,,3,13,9,13,6,12,9,9,8,6,6,3,4,36
Rebecca Poyourow,,,0,13,12,11,13,11,11,7,3,5,2,5,36
Joe Khan,,,,2,10,10,7,10,6,4,2,2,1,6,36
Lisa Rhodes,,,,,0,5,14,9,12,3,3,3,2,7,36
John Brady,,,,,,1,6,9,5,3,4,2,1,8,36
Linda Norris,,,,,,,0,8,12,3,3,3,1,9,36
Jacque Whaumbush,,,,,,,,0,7,3,2,4,2,10,36
Monica Maria Djerassi,,,,,,,,,0,3,1,2,3,11,36
Dewayne Drummond,,,,,,,,,,0,3,4,2,12,36
Kevin Bundy,,,,,,,,,,,0,5,2,13,36
Ken Washington,,,,,,,,,,,,0,2,14,36
Nat Lownes,,,,,,,,,,,,,0,15,36
Total,26,25,23,20,18,17,17,16,15,9,9,8,5,16,36
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,45
,Rebecca Poyourow,Joe Khan,Kathryn S Huggins,Liam G Boyle,Ken Washington,Dewayne Drummond,Linda Norris,Lisa Rhodes,John Brady,Kevin Bundy,Jacque Whaumbush,Monica Maria Djerassi,Nat Lownes,2,45
Rebecca Poyourow,3,48,38,33,29,21,26,22,22,15,18,17,4,3,45
Joe Khan,,4,25,26,22,15,16,12,20,13,20,11,6,4,45
Kathryn S Huggins,,,5,38,40,35,30,28,13,21,16,15,6,5,45
Liam G Boyle,,,,5,34,24,23,18,20,19,15,13,6,6,45
Ken Washington,,,,,1,32,22,20,10,20,13,10,6,7,45
Dewayne Drummond,,,,,,1,18,20,9,18,9,5,6,8,45
Linda Norris,,,,,,,1,25,10,11,13,11,4,9,45
Lisa Rhodes,,,,,,,,1,8,11,15,12,8,10,45
John Brady,,,,,,,,,0,7,12,3,6,11,45
Kevin Bundy,,,,,,,,,,1,8,10,5,12,45
Jacque Whaumbush,,,,,,,,,,,0,10,5,13,45
Monica Maria Djerassi,,,,,,,,,,,,0,4,14,45
Nat Lownes,,,,,,,,,,,,,0,15,45
Total,82,70,66,59,51,42,40,37,33,31,29,24,13,16,45
