col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
Monica Maria Djerassi,,,,,,,,0,8,2,4,4,5,0,10,9
Linda Norris,,,,,,,,,0,2,2,3,3,2,11,9
John Brady,,,,,,,,,,0,3,3,2,1,12,9
Nat Lownes,,,,,,,,,,,0,2,2,1,13,9
Rebecca Poyourow,,,,,,,,,,,,0,1,2,14,9
Jacque Whaumbush,,,,,,,,,,,,,0,0,15,9
Joe Khan,,,,,,,,,,,,,,0,16,9
Total,98,55,53,48,36,33,16,16,13,10,10,9,7,3,17,9
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,10
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,John Brady,Nat Lownes,Joe Khan,Rebecca Poyourow,Jacque Whaumbush,Monica Maria Djerassi,2,10
Tom Wolf,5,30,25,21,14,13,7,7,5,4,3,3,2,2,3,10
Kathryn S Huggins,,1,19,17,13,13,5,5,4,4,2,3,1,1,4,10
Ken Washington,,,1,18,11,13,6,6,4,4,2,3,1,2,5,10
Dewayne Drummond,,,,0,9,13,5,6,3,4,2,2,2,1,6,10
Kevin Bundy,,,,,0,8,3,2,2,2,1,2,1,1,7,10
Liam G Boyle,,,,,,0,2,2,1,1,0,1,0,0,8,10
Linda Norris,,,,,,,0,6,4,1,3,1,1,2,9,10
Lisa Rhodes,,,,,,,,0,4,2,2,2,1,1,10,10
John Brady,,,,,,,,,0,1,2,2,1,1,11,10
Nat Lownes,,,,,,,,,,1,1,2,1,0,12,10
Joe Khan,,,,,,,,,,,0,0,1,1,13,10
Rebecca Poyourow,,,,,,,,,,,,0,0,0,14,10
Jacque Whaumbush,,,,,,,,,,,,,0,0,15,10
Monica Maria Djerassi,,,,,,,,,,,,,,0,16,10
Total,45,31,26,21,14,13,7,7,5,5,3,3,2,2,17,10
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,11
,Tom Wolf,Kathryn S Huggins,Ken Washington,Liam G Boyle,Dewayne Drummond,Kevin Bundy,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,Rebecca Poyourow,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,2,11
Tom Wolf,8,20,18,17,15,14,9,8,7,6,5,4,4,4,3,11
Kathryn S Huggins,,0,11,13,14,13,5,5,6,4,3,2,4,4,4,11
Ken Washington,,,1,11,8,9,5,4,3,3,2,3,1,1,5,11
Liam G Boyle,,,,0,10,10,5,3,3,3,2,3,3,3,6,11
Dewayne Drummond,,,,,0,11,4,4,3,3,2,1,2,2,7,11
