col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,order,division
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,7
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,7
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,7
Total,18,17,15,13,11,7,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,8
,Ashley Lunkenheimer,Margo Davidson,Molly Sheehan,Rich Lazer,Theresa M Wright,Lindy Li,Thaddeus Kirkland,Mary Gay Scanlon,Greg Vitali,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,8
Ashley Lunkenheimer,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Margo Davidson,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
Molly Sheehan,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Rich Lazer,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
Theresa M Wright,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
Lindy Li,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
Thaddeus Kirkland,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
Mary Gay Scanlon,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8
Greg Vitali,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,8
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,8
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,8
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,8
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,8
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,8
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,8
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,8
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,8
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,8
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,8
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,8
Total,11,9,9,7,7,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,9
,Thaddeus Kirkland,Margo Davidson,Rich Lazer,Molly Sheehan,Lindy Li,Theresa M Wright,Ashley Lunkenheimer,Mary Gay Scanlon,Greg Vitali,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,9
Thaddeus Kirkland,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
Margo Davidson,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
Rich Lazer,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
Molly Sheehan,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
Lindy Li,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
Theresa M Wright,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
Ashley Lunkenheimer,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
Mary Gay Scanlon,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9
Greg Vitali,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,9
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,9
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,9
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,9
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,9
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,9
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,9
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,9
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,9
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,9
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,9
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,9
Total,28,16,13,9,6,6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,10
,Rich Lazer,Theresa M Wright,Lindy Li,Molly Sheehan,Margo Davidson,Mary Gay Scanlon,Ashley Lunkenheimer,Greg Vitali,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Thaddeus Kirkland,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,10
Rich Lazer,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
Theresa M Wright,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
Lindy Li,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
Molly Sheehan,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10
Margo Davidson,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
Mary Gay Scanlon,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10
Ashley Lunkenheimer,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10
Greg Vitali,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10
Shelly Chauncey,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10
Thaddeus Kirkland,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,10
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,10
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,10
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,10
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,10
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,10
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,10
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,10
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,10
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,10
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,10
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,10
Total,11,8,7,5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,11
,Rich Lazer,Theresa M Wright,Molly Sheehan,Greg Vitali,Lindy Li,Mary Gay Scanlon,Ashley Lunkenheimer,Dan Muroff,Larry Arata,Thaddeus Kirkland,David Wertime,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,11
Rich Lazer,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
Theresa M Wright,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
Molly Sheehan,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
Greg Vitali,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
Lindy Li,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
Mary Gay Scanlon,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11
Ashley Lunkenheimer,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11
Dan Muroff,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11
Larry Arata,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
Thaddeus Kirkland,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,11
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,11
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,11
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,11
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,11
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,11
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,11
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,11
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,11
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,11
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,11
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,11
Total,22,14,12,5,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,12
,Ashley Lunkenheimer,Lindy Li,Theresa M Wright,Rich Lazer,Thaddeus Kirkland,Molly Sheehan,Greg Vitali,Margo Davidson,Mary Gay Scanlon,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,12
Ashley Lunkenheimer,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
Lindy Li,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
Theresa M Wright,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
Rich Lazer,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12
Thaddeus Kirkland,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12
Molly Sheehan,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12
Greg Vitali,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12
Margo Davidson,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12
Mary Gay Scanlon,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,12
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,12
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,12
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,12
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,12
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,12
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,12
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,12
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,12
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,12
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,12
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,12
Total,12,6,6,5,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,13
,Rich Lazer,Theresa M Wright,Ashley Lunkenheimer,Lindy Li,Molly Sheehan,Mary Gay Scanlon,Margo Davidson,Thaddeus Kirkland,Dan Muroff,Greg Vitali,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,13
Rich Lazer,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
Theresa M Wright,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
Ashley Lunkenheimer,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13
Lindy Li,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13
Molly Sheehan,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
Mary Gay Scanlon,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13
Margo Davidson,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13
Thaddeus Kirkland,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13
Dan Muroff,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13
Greg Vitali,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,13
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,13
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,13
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,13
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,13
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,13
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,13
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,13
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,13
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,13
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,13
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,13
Total,16,12,11,8,8,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,14
,Theresa M Wright,Rich Lazer,Ashley Lunkenheimer,Lindy Li,Molly Sheehan,Mary Gay Scanlon,Greg Vitali,Thaddeus Kirkland,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,14
Theresa M Wright,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
Rich Lazer,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
Ashley Lunkenheimer,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
Lindy Li,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
Molly Sheehan,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
Mary Gay Scanlon,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14
Greg Vitali,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14
Thaddeus Kirkland,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,14
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,14
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,14
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,14
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,14
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,14
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,14
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,14
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,14
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,14
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,14
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,14
Total,16,12,9,8,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,15
,Ashley Lunkenheimer,Rich Lazer,Lindy Li,Theresa M Wright,Mary Gay Scanlon,Molly Sheehan,Greg Vitali,Thaddeus Kirkland,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,15
Ashley Lunkenheimer,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
Rich Lazer,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15
Lindy Li,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
Theresa M Wright,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15
Mary Gay Scanlon,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15
Molly Sheehan,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15
Greg Vitali,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15
Thaddeus Kirkland,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,15
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,15
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,15
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,15
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,15
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,15
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,15
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,15
