col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,order,division
Ashley Lunkenheimer,,,,,,,,,,,,0,0,0,0,0,0,14,9
Dan Muroff,,,,,,,,,,,,,0,0,0,0,0,15,9
David Wertime,,,,,,,,,,,,,,0,0,0,0,16,9
Larry Arata,,,,,,,,,,,,,,,0,0,0,17,9
Margo Davidson,,,,,,,,,,,,,,,,0,0,18,9
Shelly Chauncey,,,,,,,,,,,,,,,,,0,19,9
Total,23,19,19,19,21,7,6,4,4,3,3,1,0,0,0,0,0,20,9
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,10
,Kyle J Sampson,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Lindy Li,Molly Sheehan,Thaddeus Kirkland,Theresa M Wright,Rich Lazer,Ashley Lunkenheimer,Mary Gay Scanlon,Dan Muroff,Greg Vitali,Margo Davidson,David Wertime,Larry Arata,Shelly Chauncey,2,10
Kyle J Sampson,0,15,14,15,4,4,5,2,2,1,2,0,0,1,0,0,0,3,10
Torri Douglas,,1,15,16,3,5,5,4,0,0,2,0,0,0,0,0,0,4,10
Marisa Piccarreto,,,0,14,3,4,5,4,0,0,1,1,1,0,0,0,0,5,10
Kyle Shenandoah,,,,0,2,3,5,3,0,0,2,0,0,0,0,0,0,6,10
Lindy Li,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,7,10
Molly Sheehan,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,8,10
Thaddeus Kirkland,,,,,,,3,0,0,0,0,0,0,0,0,0,0,9,10
Theresa M Wright,,,,,,,,1,0,0,0,0,0,0,0,0,0,10,10
Rich Lazer,,,,,,,,,2,0,0,0,0,0,0,0,0,11,10
Ashley Lunkenheimer,,,,,,,,,,1,0,0,0,0,0,0,0,12,10
Mary Gay Scanlon,,,,,,,,,,,0,0,0,0,0,0,0,13,10
Dan Muroff,,,,,,,,,,,,0,0,0,0,0,0,14,10
Greg Vitali,,,,,,,,,,,,,0,0,0,0,0,15,10
Margo Davidson,,,,,,,,,,,,,,0,0,0,0,16,10
David Wertime,,,,,,,,,,,,,,,0,0,0,17,10
Larry Arata,,,,,,,,,,,,,,,,0,0,18,10
Shelly Chauncey,,,,,,,,,,,,,,,,,0,19,10
Total,23,22,21,17,15,10,8,7,4,2,2,1,1,1,0,0,0,20,10
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,11
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Ashley Lunkenheimer,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Lindy Li,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Rich Lazer,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,2,11
Torri Douglas,10,32,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
Kyle J Sampson,,7,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
Kyle Shenandoah,,,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
Marisa Piccarreto,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
Dan Muroff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,11
David Wertime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,11
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,11
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,11,11
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,12,11
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,13,11
