col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
Camille G Mccolgan,0,19,12,13,21,9,11,7,3,29
Linwood Holland,,0,9,11,16,11,9,6,4,29
Dan Tinney,,,0,15,9,14,8,3,5,29
Joseph Giedemann,,,,0,10,11,8,5,6,29
Margaret L Recupido,,,,,0,6,10,6,7,29
Paul Mango,,,,,,7,0,0,8,29
Scott R Wagner,,,,,,,1,0,9,29
Laura Ellsworth,,,,,,,,4,10,29
Total,27,26,25,24,22,26,20,13,11,29
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,30
,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Paul Mango,Scott R Wagner,Laura Ellsworth,2,30
Dan Tinney,0,7,5,5,5,3,4,1,3,30
Joseph Giedemann,,1,4,4,4,3,3,1,4,30
Margaret L Recupido,,,0,3,3,3,3,1,5,30
Camille G Mccolgan,,,,0,3,2,3,1,6,30
Linwood Holland,,,,,0,1,4,0,7,30
Paul Mango,,,,,,2,0,0,8,30
Scott R Wagner,,,,,,,0,0,9,30
Laura Ellsworth,,,,,,,,0,10,30
Total,8,8,7,6,5,7,5,1,11,30
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,31
,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Linwood Holland,Paul Mango,Scott R Wagner,Laura Ellsworth,2,31
Camille G Mccolgan,0,4,4,3,3,5,3,1,3,31
Joseph Giedemann,,0,3,4,2,0,4,1,4,31
Margaret L Recupido,,,0,2,3,2,2,1,5,31
Dan Tinney,,,,0,1,0,3,1,6,31
Linwood Holland,,,,,0,2,2,0,7,31
Paul Mango,,,,,,2,0,0,8,31
Scott R Wagner,,,,,,,2,0,9,31
Laura Ellsworth,,,,,,,,2,10,31
Total,9,5,5,4,4,8,6,3,11,31
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,32
,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Linwood Holland,Paul Mango,Scott R Wagner,Laura Ellsworth,2,32
Joseph Giedemann,0,3,2,2,2,3,2,1,3,32
Margaret L Recupido,,0,3,3,3,3,1,1,4,32
Camille G Mccolgan,,,0,2,2,1,2,1,5,32
Dan Tinney,,,,0,2,1,1,1,6,32
Linwood Holland,,,,,0,2,0,1,7,32
Paul Mango,,,,,,1,0,0,8,32
Scott R Wagner,,,,,,,0,0,9,32
Laura Ellsworth,,,,,,,,0,10,32
Total,6,5,4,3,3,5,3,2,11,32
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,33
,Joseph Giedemann,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,Linwood Holland,Paul Mango,Scott R Wagner,Laura Ellsworth,2,33
Joseph Giedemann,0,3,4,5,4,4,4,1,3,33
Camille G Mccolgan,,0,3,3,4,3,3,1,4,33
Dan Tinney,,,0,3,3,4,2,0,5,33
Margaret L Recupido,,,,0,4,2,3,1,6,33
