col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
Margaret L Recupido,,,0,3,3,3,5,32
Camille G Mccolgan,,,,0,2,2,6,32
Dan Tinney,,,,,0,2,7,32
Linwood Holland,,,,,,0,8,32
Total,9,6,5,4,3,3,9,32
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,33
,David Torres,Joseph Giedemann,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,Linwood Holland,2,33
David Torres,0,7,7,5,6,5,3,33
Joseph Giedemann,,1,3,4,5,4,4,33
Camille G Mccolgan,,,0,3,3,4,5,33
Dan Tinney,,,,0,3,3,6,33
Margaret L Recupido,,,,,0,4,7,33
Linwood Holland,,,,,,0,8,33
Total,11,9,7,6,6,5,9,33
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,34
,David Torres,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,34
David Torres,0,6,5,2,2,4,3,34
Camille G Mccolgan,,0,5,0,1,5,4,34
Linwood Holland,,,1,0,1,5,5,34
Dan Tinney,,,,1,2,0,6,34
Joseph Giedemann,,,,,1,1,7,34
Margaret L Recupido,,,,,,0,8,34
Total,10,7,7,5,5,5,9,34
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,35
,David Torres,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,2,35
David Torres,3,18,19,16,9,9,3,35
Linwood Holland,,4,16,14,5,3,4,35
Camille G Mccolgan,,,0,16,8,6,5,35
Margaret L Recupido,,,,1,5,3,6,35
Dan Tinney,,,,,1,9,7,35
Joseph Giedemann,,,,,,1,8,35
Total,32,24,21,19,15,14,9,35
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,36
,David Torres,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,2,36
David Torres,0,4,3,3,2,1,3,36
Margaret L Recupido,,0,3,3,2,1,4,36
Camille G Mccolgan,,,0,2,2,1,5,36
Dan Tinney,,,,0,2,0,6,36
Joseph Giedemann,,,,,0,0,7,36
Linwood Holland,,,,,,0,8,36
Total,4,4,3,3,2,1,9,36
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,37
,David Torres,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Dan Tinney,Joseph Giedemann,2,37
David Torres,1,7,7,7,6,6,3,37
Camille G Mccolgan,,0,5,6,4,4,4,37
Linwood Holland,,,0,5,3,4,5,37
Margaret L Recupido,,,,0,3,3,6,37
Dan Tinney,,,,,0,6,7,37
Joseph Giedemann,,,,,,0,8,37
Total,13,9,8,8,7,7,9,37
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,38
