col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
Latrice Y Bryant,,,,,,,,0,3,2,10,16
Sharon Vaughn,,,,,,,,,0,2,11,16
Robert Taylor,,,,,,,,,,0,12,16
Total,32,16,13,11,7,3,3,3,3,2,13,16
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,17
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Robert Taylor,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,2,17
Tom Wolf,27,48,38,32,26,21,20,19,14,15,3,17
Jaime Bouldin,,1,30,26,18,16,16,15,13,13,4,17
David Rodriguez,,,1,28,19,17,18,15,13,12,5,17
Humberto Perez,,,,0,16,16,16,15,14,11,6,17
Barbara Carroll,,,,,0,20,19,18,13,13,7,17
Sharon Vaughn,,,,,,0,16,16,14,13,8,17
Robert Taylor,,,,,,,0,17,12,13,9,17
Latrice Y Bryant,,,,,,,,0,12,12,10,17
Dustin Morris,,,,,,,,,0,12,11,17
Jonathan M Gary,,,,,,,,,,0,12,17
Total,96,49,39,33,26,22,20,19,15,15,13,17
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,18
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,2,18
Tom Wolf,39,37,31,28,22,20,18,17,17,16,3,18
Jaime Bouldin,,1,24,22,16,17,14,15,14,16,4,18
David Rodriguez,,,0,25,17,18,15,17,16,15,5,18
Humberto Perez,,,,0,16,17,15,17,16,15,6,18
Barbara Carroll,,,,,0,18,16,15,14,13,7,18
Sharon Vaughn,,,,,,0,14,15,15,14,8,18
Dustin Morris,,,,,,,0,14,14,13,9,18
Jonathan M Gary,,,,,,,,0,15,14,10,18
Latrice Y Bryant,,,,,,,,,0,12,11,18
Robert Taylor,,,,,,,,,,0,12,18
Total,89,38,31,28,22,20,18,17,17,16,13,18
