col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
Total,64,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,8
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,8
Dwight Evans,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Kevin Johnson,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,8
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,8
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,8
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,8
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,8
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,8
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,8
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,8
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,8
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,8
Rhea Powell,,,,,,,,,,,,,,0,0,16,8
Tom Young,,,,,,,,,,,,,,,0,17,8
Total,66,23,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,9
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,9
Dwight Evans,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
Kevin Johnson,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,9
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,9
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,9
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,9
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,9
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,9
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,9
