col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
Total,26,21,21,19,17,16,14,14,13,13,13,11,9,16,21
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,22
,Marylouise Isaacson,Rhea Powell,Amanda Mcillmurray,Andi Perez,Micah Mahjoubian,Mariel J K Martin,Tom Young,Joe Celentano,Judi Golding Baker,Darrell L Clarke,Matthew D Myers,Noam Kugelmass,Jon Geeting,2,22
Marylouise Isaacson,0,30,26,24,27,24,20,12,21,13,13,14,11,3,22
Rhea Powell,,3,24,20,20,17,15,13,18,7,10,14,10,4,22
Amanda Mcillmurray,,,1,17,17,18,14,11,21,11,9,11,11,5,22
Andi Perez,,,,1,19,14,13,10,14,9,10,9,6,6,22
Micah Mahjoubian,,,,,0,16,13,9,12,12,10,11,7,7,22
Mariel J K Martin,,,,,,1,14,4,16,12,9,8,6,8,22
Tom Young,,,,,,,0,12,11,11,11,9,11,9,22
Joe Celentano,,,,,,,,8,7,6,6,5,6,10,22
Judi Golding Baker,,,,,,,,,0,9,9,10,7,11,22
Darrell L Clarke,,,,,,,,,,1,10,6,3,12,22
Matthew D Myers,,,,,,,,,,,1,5,6,13,22
Noam Kugelmass,,,,,,,,,,,,1,8,14,22
Jon Geeting,,,,,,,,,,,,,0,15,22
Total,41,37,34,28,28,27,26,24,24,19,18,18,15,16,22
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,23
,Joe Celentano,Marylouise Isaacson,Tom Young,Matthew D Myers,Micah Mahjoubian,Rhea Powell,Mariel J K Martin,Andi Perez,Darrell L Clarke,Amanda Mcillmurray,Noam Kugelmass,Judi Golding Baker,Jon Geeting,2,23
Joe Celentano,12,21,32,20,26,32,23,20,19,23,25,10,14,3,23
Marylouise Isaacson,,2,31,23,28,25,35,35,22,27,16,18,7,4,23
Tom Young,,,4,23,33,25,27,28,24,19,22,11,9,5,23
Matthew D Myers,,,,10,18,12,26,19,25,12,8,11,4,6,23
Micah Mahjoubian,,,,,3,26,25,28,20,14,19,10,8,7,23
Rhea Powell,,,,,,3,23,22,20,25,24,15,11,8,23
Mariel J K Martin,,,,,,,0,33,28,24,16,14,8,9,23
Andi Perez,,,,,,,,2,22,18,14,12,10,10,23
Darrell L Clarke,,,,,,,,,5,16,11,11,7,11,23
Amanda Mcillmurray,,,,,,,,,,0,17,14,8,12,23
Noam Kugelmass,,,,,,,,,,,1,7,10,13,23
Judi Golding Baker,,,,,,,,,,,,1,3,14,23
Jon Geeting,,,,,,,,,,,,,0,15,23
Total,61,53,53,50,49,49,48,47,47,35,30,23,15,16,23
