col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,26
,Brendan F Boyle,Michele Lawrence,Mona Getzes Cohen,James Harrity,Erica Vanstone,Meagan Ingerson,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,2,26
Brendan F Boyle,3,0,9,10,8,4,8,6,7,6,5,3,26
Michele Lawrence,,1,7,6,4,6,2,3,2,2,1,4,26
Mona Getzes Cohen,,,1,11,6,9,4,6,3,3,2,5,26
James Harrity,,,,0,8,9,7,7,6,5,4,6,26
Erica Vanstone,,,,,0,5,8,9,7,8,6,7,26
Meagan Ingerson,,,,,,0,3,4,2,3,2,8,26
Richard Lombardo,,,,,,,0,7,8,7,5,9,26
Catherine Bartch,,,,,,,,0,6,6,5,10,26
Marnie Aument Loughrey,,,,,,,,,0,5,6,11,26
Frank T Brzozowski,,,,,,,,,,0,4,12,26
Billy Cortes,,,,,,,,,,,0,13,26
Total,19,11,17,16,12,10,10,9,9,8,6,14,26
