col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,All
,Mary Murray,Emil Giordano,Craig Stedman,Wade A Kagarise,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Jules Mermelstein,Marissa Brumbach,Matt Wolf,All
Marissa Brumbach,,,,,,,,,,,0,11
Total,50,47,46,44,44,27,27,26,6,44,43,11
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,12
,Emil Giordano,Mary Murray,Carolyn H Nichols,Debbie Kunselman,Maria Mclaughlin,Craig Stedman,Geoff Moulton,Wade A Kagarise,Jules Mermelstein,Matt Wolf,Marissa Brumbach,12
Emil Giordano,2,18,2,3,1,15,2,15,0,5,4,12
Mary Murray,,0,5,3,4,16,0,16,0,7,7,12
Carolyn H Nichols,,,0,17,17,1,15,1,0,17,17,12
Debbie Kunselman,,,,0,17,0,16,1,1,18,15,12
Maria Mclaughlin,,,,,0,1,14,0,1,17,15,12
Craig Stedman,,,,,,1,0,15,0,3,4,12
Geoff Moulton,,,,,,,0,0,1,14,13,12
Wade A Kagarise,,,,,,,,0,0,3,4,12
Jules Mermelstein,,,,,,,,,0,1,0,12
Matt Wolf,,,,,,,,,,0,18,12
Marissa Brumbach,,,,,,,,,,,0,12
Total,23,23,21,21,20,17,16,16,1,23,21,12
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,13
,Craig Stedman,Mary Murray,Emil Giordano,Wade A Kagarise,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Jules Mermelstein,Marissa Brumbach,Matt Wolf,13
Craig Stedman,2,49,46,46,5,2,1,1,0,11,9,13
Mary Murray,,0,48,45,5,3,0,2,0,9,10,13
Emil Giordano,,,2,45,4,2,1,0,0,7,6,13
Wade A Kagarise,,,,0,5,3,5,0,0,10,6,13
Maria Mclaughlin,,,,,2,23,22,18,0,28,24,13
Carolyn H Nichols,,,,,,0,20,18,0,26,21,13
Geoff Moulton,,,,,,,0,17,0,22,20,13
Debbie Kunselman,,,,,,,,0,0,19,19,13
Jules Mermelstein,,,,,,,,,0,0,0,13
Marissa Brumbach,,,,,,,,,,0,30,13
Matt Wolf,,,,,,,,,,,0,13
Total,55,54,52,50,33,26,24,19,0,39,35,13
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,14
,Emil Giordano,Mary Murray,Craig Stedman,Wade A Kagarise,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Carolyn H Nichols,Jules Mermelstein,Marissa Brumbach,Matt Wolf,14
Emil Giordano,2,40,40,39,6,4,5,0,1,19,16,14
Mary Murray,,1,39,37,9,6,0,4,1,17,16,14
Craig Stedman,,,0,36,2,4,3,0,2,15,15,14
Wade A Kagarise,,,,0,4,0,2,0,2,13,11,14
Maria Mclaughlin,,,,,1,22,17,19,0,25,20,14
Debbie Kunselman,,,,,,0,19,19,0,24,22,14
Geoff Moulton,,,,,,,0,15,0,21,17,14
Carolyn H Nichols,,,,,,,,0,0,18,16,14
Jules Mermelstein,,,,,,,,,0,2,2,14
Marissa Brumbach,,,,,,,,,,1,33,14
Matt Wolf,,,,,,,,,,,0,14
Total,49,48,43,41,31,26,21,20,2,42,35,14
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,15
,Maria Mclaughlin,Geoff Moulton,Carolyn H Nichols,Debbie Kunselman,Emil Giordano,Wade A Kagarise,Mary Murray,Craig Stedman,Jules Mermelstein,Marissa Brumbach,Matt Wolf,15
Maria Mclaughlin,4,62,59,49,6,8,3,1,2,66,61,15
Geoff Moulton,,0,55,46,5,7,0,0,2,56,54,15
Carolyn H Nichols,,,0,47,0,3,2,1,2,56,53,15
Debbie Kunselman,,,,0,2,1,1,0,0,48,46,15
Emil Giordano,,,,,1,32,29,28,1,11,9,15
Wade A Kagarise,,,,,,0,27,26,2,12,10,15
Mary Murray,,,,,,,1,29,1,7,7,15
Craig Stedman,,,,,,,,1,0,5,5,15
Jules Mermelstein,,,,,,,,,0,3,3,15
Marissa Brumbach,,,,,,,,,,1,61,15
Matt Wolf,,,,,,,,,,,1,15
Total,80,62,61,50,36,36,33,30,4,75,68,15
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,16
,Emil Giordano,Mary Murray,Craig Stedman,Wade A Kagarise,Maria Mclaughlin,Debbie Kunselman,Carolyn H Nichols,Geoff Moulton,Jules Mermelstein,Marissa Brumbach,Matt Wolf,16
Emil Giordano,2,58,58,59,6,6,2,5,2,17,14,16
Mary Murray,,3,57,58,6,6,5,0,3,16,15,16
